ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"1845268813","2015-1320-30902","Prestació de serveis de policia local","2015","1320","111","30902","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","30","TAXES PER LA PRESTACIÓ DE SERVEIS PÚBLICS BÀSICS.","309","ALTRES TAXES PER PRESTACIÓ DE SERVEIS BÀSICS.","30902","PRESTACIÓ DE SERVEIS DE POLICIA LOCAL","500.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"551666062","2015-1320-32500","Expedició de documents,,","2015","1320","111","32500","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","325","TAXA PER EXPEDICIÓ DE DOCUMENTS.","32500","EXPEDICIÓ DE DOCUMENTS","31495.00","31495.00","0.00","0.00","0.00","13500.35","13274.35","226.00","13274.35","226.00","42.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1716654050","2015-1320-33912","Taxa ocupació via pública serveis policials","2015","1320","111","33912","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33912","TAXA OCUPACIÓ VIA PÚBLICA","0.00","0.00","0.00","0.00","0.00","1382.40","1382.40","0.00","1382.40","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3269430481","2015-1320-39120","Multes per infraccions de circulació","2015","1320","111","39120","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","391","MULTES.","39120","MULTES PER INFRACCIONS DE L'ORDENANÇA DE CIRCULACIÓ.","1200000.00","1200000.00","0.00","0.00","0.00","2018120.00","1375030.00","643090.00","554153.25","1155.00","114.6","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3838342736","2015-1340-32600","Servei de grua","2015","1340","111","32600","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","326","TAXA PER RETIRADA DE VEHICLES.","32600","SERVEI DE GRUA","276000.00","276000.00","0.00","0.00","0.00","233973.00","232856.80","1116.20","232856.80","1116.20","84.4","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"4019466605","2015-1340-32900","Elements publicitaris a la via pública","2015","1340","111","32900","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","329","ALTRES TAXES PER LA REALIZAC DE ACTIVID DE COMPET LOCAL","32900","ELEMENTS PUBLICITARIS A LA VIA PÚBLICA","30000.00","30000.00","0.00","0.00","0.00","24924.00","24924.00","0.00","24924.00","0.00","83.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1492741511","2015-1340-33000","Taxa dipòsit de vehicles","2015","1340","111","33000","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","330","TAXA D'ESTACIONAMENT DE VEHICLES.","33000","TAXA DIPÒSIT DE VEHICLES","0.00","0.00","0.00","0.00","0.00","6860.00","6860.00","0.00","6860.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"805199121","2015-1340-33001","Reserves per estacionament","2015","1340","111","33001","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","330","TAXA D'ESTACIONAMENT DE VEHICLES.","33001","RESERVES PER ESTACIONAMENT","28000.00","28000.00","0.00","0.00","0.00","26829.40","26829.40","0.00","26829.40","0.00","95.8","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1497040816","2015-1340-33100","Entrada de vehicles en edificis","2015","1340","111","33100","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","331","TAXA PER ENTRADA DE VEHICLES.","33100","ENTRADA DE VEHICLES EN EDIFICIS","1042090.00","1042090.00","0.00","0.00","0.00","1029763.23","1025535.18","4228.05","926824.53","915.33","98.4","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"775698214","2015-1340-33101","Altes guals inspecció","2015","1340","111","33101","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","331","TAXA PER ENTRADA DE VEHICLES.","33101","ALTES GUALS INSPECCIÓ","11500.00","11500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3073730204","2015-1340-33102","Plaques de gual","2015","1340","111","33102","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","331","TAXA PER ENTRADA DE VEHICLES.","33102","PLAQUES DE GUAL","1500.00","1500.00","0.00","0.00","0.00","979.00","979.00","0.00","979.00","0.00","65.3","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1580380012","2015-1340-33500","Ocupació via pública taules i cadires","2015","1340","111","33500","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","335","TAXA PER OCUPACIÓ DE LA VIA PÚBLICA AMB TERRASSES.","33500","OCUPACIÓ VIA PÚBLICA TAULES I CADIRES","86000.00","86000.00","0.00","0.00","0.00","95154.63","92943.47","2211.16","62995.60","0.00","108.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1551110453","2015-1340-33600","Talls de trànsit","2015","1340","111","33600","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","336","TAXA PER OCUP VIA PÚB AMB SUSPENS TEMP DEL TRÀFIC RODAT","33600","TALLS DE TRÀNSIT","6000.00","6000.00","0.00","0.00","0.00","14204.40","14204.40","0.00","14204.40","0.00","236.7","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"539977374","2015-1340-33901","Taxes ocupació via pública per construcció","2015","1340","111","33901","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33901","TAXES OCUPACIÓ VIA PÚBLICA PER CONSTRUCCIÓ","16000.00","16000.00","0.00","0.00","0.00","10913.42","10913.42","0.00","10913.42","0.00","68.2","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1346736657","2015-1340-33904","Parades i fires","2015","1340","111","33904","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33904","PARADES I FIRES","50000.00","50000.00","0.00","0.00","0.00","71116.54","71005.93","110.61","70079.43","110.61","142","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1535504682","2015-1350-46129","DIBA - Ajuts per prevenció d'incendis forestals","2015","1350","111","46129","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46129","DIBA - AJUTS POLÍTICA D'IGUALTAT","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"781289132","2015-15001-39610","Quotes d'urbanització PERI 22.1","2015","15001","111","39610","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","396","INGRESSOS PER ACTUACIONS D'URBANITZACIÓ.","39610","QUOTES D'URBANITZACIÓ.","0.00","426629.52","426629.52","426629.52","0.00","107.43","107.43","0.00","107.43","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"528063537","2015-15002-39610","Quotes d'urbanització Sector A4","2015","15002","111","39610","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","396","INGRESSOS PER ACTUACIONS D'URBANITZACIÓ.","39610","QUOTES D'URBANITZACIÓ.","0.00","274558.92","274558.92","274558.92","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3104741253","2015-15003-39610","Quotes d'urbanització Cova Solera","2015","15003","111","39610","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","39","ALTRES INGRESSOS.","396","INGRESSOS PER ACTUACIONS D'URBANITZACIÓ.","39610","QUOTES D'URBANITZACIÓ.","0.00","5496.08","5496.08","5496.08","0.00","2536.00","2536.00","0.00","2536.00","0.00","46.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
