ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2012","2012/07/09","G08310070","OMNIUM CULTURAL","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","3670.00","875.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G64315658","ASSOCIACIO DE PARES I MARES CEIP RIVO RUBEO","CONTRACTACIÓ MONITORS","Educació","CONCESSIÓ VALIDADA O APROVADA","992.08","992.08","818460009","Ajuntament de Rubí"
"2012","2012/07/31","S0800117D","ESCOLA CA N'ALZAMORA","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","2941.18","2941.18","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G60319944","ASSOCIACIO ANIMACIO CULTURAL DEL CARRER  SANT JAUME","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","2600.00","2500.00","818460009","Ajuntament de Rubí"
"2012","2012/08/01","G58203183","ESBART DANSAIRE DE RUBI","PROGRAMA DE DANSES TRADICIONALS CURS 2011-2012 A LES ESCOLES PÚBLIQUES","Educació","JUSTIFICADA PARCIALMENTE","23700.00","23700.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G62943576","AMICS DEL COL.LECCIONISME DE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","300.00","300.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","Q5855639J","ESCOLA JOAN MARAGALL","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","2861.69","2861.69","818460009","Ajuntament de Rubí"
"2012","2012/05/22","G59511048","ASOC DE VECINOS LAS TORRES RUBI 2000","DINAMITZACIÓ INSTAL·LACIONS ESPORTIVES CEIP MONTESSORI I FRANCESC CALVO","Esports","JUSTIFICADA PARCIALMENTE","5825.00","5825.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G61471033","CLUB DE PATINATGE ARTISTIC RUBI","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","800.00","650.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G58978651","GIMNAS ARTISTIC I ESPORTIU RUBI","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA","2000.00","1800.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G58202953","CASA DE ANDALUCIA EN RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","2300.00","600.00","818460009","Ajuntament de Rubí"
"2012","2012/03/27","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","JOCS ESPORTIUS ESCOLARS","Esports","JUSTIFICADA PARCIALMENTE","13000.00","13000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G61220703","APA IES RUBI IV LA SERRETA","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","147.60","147.60","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G58376740","APA COL.LEGI PUBLIC RAMON LLULL DE CAN FATJO","BONIFICACIONS PER GERMANS MATRICULATS, FAMILIES NOMBROSES I MONOPARENTALS","Educació","CONCESSIÓ VALIDADA O APROVADA","330.00","330.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G64315658","ASSOCIACIO DE PARES I MARES CEIP RIVO RUBEO","BONIFICACIONS PER GERMANS MATRICULATS, FAMILIES NOMBROSES I MONOPARENTALS","Educació","CONCESSIÓ VALIDADA O APROVADA","282.00","282.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G62017488","COMPANYIA DE DANSA METRONOMO","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","REINTEGRADA","919.36","450.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G60593944","APA 1993 CP 25 DE SETEMBRE  DE RUBI","MINORACIÓ DE QUOTA","Educació","CONCESSIÓ VALIDADA O APROVADA","2630.00","2630.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G61139432","CLUB PETANCA UNION LAS TORRES RUBI","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","6000.00","3500.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","S0800121F","CEE CA'N ORIOL","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","1828.30","1828.30","818460009","Ajuntament de Rubí"
"2012","2012/12/04","G60845922","RUBI SOLIDARI","ENTITATS DE CARÀCTER SOLIDARI, PER A ACTIVITATS DE SENSIBILITZACIÓ DE COOPERACIÓ INTERNACIONAL","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","5705.00","5705.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855553C","ESCOLA RAMON LLULL","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","5770.00","1162.00","818460009","Ajuntament de Rubí"
"2012","2012/06/05","G60423308","C E B  SANT JORDI","DINAMITZACIÓ DEL BASQUET A RUBÍ","Esports","JUSTIFICADA PARCIALMENTE","5400.00","5400.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G63248041","CLUB ESPORTIU MAGICS","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","465.00","200.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855634A","ESCOLA MONTESSORI","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1200.00","1200.00","818460009","Ajuntament de Rubí"
"2012","2012/11/16","J65202723","LA CASSOLA DE RUBI SCP","SUBVENCIÓ 2012 PER A LA MILLORA DEL COMERÇ","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","800.00","800.00","818460009","Ajuntament de Rubí"
