ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"2014","2014/12/01","B64049828","N-ICE SKATING SL","CONVENI N-ICE SKATING SL PER INSTAL·LACIÓ PISTA GEL CAMPANYA NADAL","Comerç i Indústria","PAGADA PARCIALMENTE","16500.00","16500.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/11/21","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","CONVENI CER FUTBOL SALA_ESPORT PER A TOTHOM 2014-2015","Esports","JUSTIFICADA PARCIALMENTE","56000.00","56000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B59895805","GOURMANDISE SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","1125.00","1564.08","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A59033498","TOP-CABLE SA","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","6300.00","6300.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65246050","SCAME MATERIAL ELECTRICO SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","5850.00","5850.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A59033498","TOP-CABLE SA","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","2250.00","3600.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/22","B60130341","IMPRINTER SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","1800.00","2700.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65952590","PLANCHA MOTOR SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","JUSTIFICADA","3150.00","3150.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65479743","DE GLA PRODUCTES I SERVEIS SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","7200.00","7200.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/02/28","G60571668","UNIO ATLETICA RUBI","Subvenció 2014 UAR 50% dels présctecs condicionament pista d'atletisme Can Rosés","Esports","JUSTIFICADA PARCIALMENTE","16967.86","16967.86","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","J66274747","FRUTAS KATTAR SCP","CREACIÓ D'EMPRESES I SUPORT AL TREBALL AUTÒNOM","Promoció de la ciutat","PAGADA","2500.00","1500.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65966749","AYALATIM LATINA SOCIEDAD LIMITADA","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","2025.00","1427.13","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/10/23","Q2866001G","CRUZ ROJA ESPAÑOLA","Punt de Trobada","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","6200.00","6200.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66269598","BLAUSERVEIS PROFESSIONALS SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","6300.00","6300.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A08391765","VIRUTEX SA","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","6750.00","6750.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66298373","QUALITY & PRECISION SEALING SL","CREACIÓ D'EMPRESES I SUPORT AL TREBALL AUTÒNOM","Promoció de la ciutat","PAGADA","2500.00","1500.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B63641039","INTERIORISMO E INMOBILIARIA MARTIN & MAR","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","4500.00","4500.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A08391765","VIRUTEX SA","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","6300.00","6300.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66012881","ESCOLA BRESSOL ELEFANT BLAU SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","4950.00","4950.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/22","J66358938","OH-KBE ESTETICA I QUIROMASSATGE SCP","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","2700.00","1545.80","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66269598","BLAUSERVEIS PROFESSIONALS SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","9000.00","9000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A08720096","MIMAVEN ELECTRICA SA","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","1350.00","1769.88","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B62789979","AKIRA COMPUTER SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","3780.00","3780.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/04/09","G60571668","UNIO ATLETICA RUBI","PRÒRROGA CONVENI ANY 2014 UNIO ATLÈTICA RUBÍ. TEMPORADA ESPORTIVA ATLETISME","Esports","JUSTIFICADA PARCIALMENTE","7200.00","7200.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66367939","ESPAI IDIOMES RUBI SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","JUSTIFICADA PARCIALMENTE","5400.00","5400.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/22","B65952590","PLANCHA MOTOR SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","JUSTIFICADA","2700.00","4050.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65919847","SYNERGY AND COACHING SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","JUSTIFICADA PARCIALMENTE","5400.00","5400.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/04/09","G60571668","UNIO ATLETICA RUBI","PRÒRROGA CONVENI ANY 2014 UNIO ATLÈTICA RUBÍ. GESTIÓ PISTES ATLETISME","Esports","JUSTIFICADA PARCIALMENTE","81000.00","81000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65234494","RODAMIENTOS ANMAR SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","9000.00","9000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B59895805","GOURMANDISE SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","6274.64","6274.64","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B62383773","FERRETERIA INDUSTRIAL RADO 2000 SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","JUSTIFICADA PARCIALMENTE","3375.00","3375.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/07/21","G59429290","ASSOCIACIO COMPARTIR","Programa d'activitats d'estiu centre obert","Sanitat i serveis socials","PAGADA","6182.07","6182.07","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","V60122249","RUBI CENTRE BOTIGUER","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","900.00","2047.32","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65272411","ESCAVACIONES YASMINE SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","8100.00","8100.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A08290389","VAK KIMSA SA","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","8100.00","8100.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B64332208","COLORPAINT RUBI XXI","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","1350.00","1087.86","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/08/01","G61313516","FEDERACIO D'ASSOCIACIONS DE COMERCIANTS DE RUBI","CONVENI AMB LA FACGR PER AL PLA DE DINAMITZACIÓ COMERCIAL 2014","Comerç i Indústria","JUSTIFICADA","35000.00","35000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B63866743","MECANIZADOS ESTEBAN SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","5400.00","5400.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65966749","AYALATIM LATINA SOCIEDAD LIMITADA","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","2025.00","1427.13","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66325978","KLIU SOLUTIONS SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA","6300.00","4418.64","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66367939","ESPAI IDIOMES RUBI SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","JUSTIFICADA","1350.00",,"2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B58586900","ANODIZADOS OLIVA SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","5446.58","5446.58","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B59895805","GOURMANDISE SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","1125.00","852.48","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65670655","TALLERES HOBBYCARS SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","PAGADA PARCIALMENTE","2850.00","2700.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65952590","PLANCHA MOTOR SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","JUSTIFICADA","3150.00","4500.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","A58075250","J A  MANSERGAS  SA","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","9000.00","9000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B66367939","ESPAI IDIOMES RUBI SL","SUPORT A LA CONTRACTACIÓ PRIVADA SEMESTRAL","Promoció de la ciutat","JUSTIFICADA","1575.00",,"2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/11/05","G58063496","ASSOCIACIO D ADJUDICATARIS MERCAT MUNICIPAL DE RUBI","SUBVENCIÓ PER LA PROMOCIÓ COMERCIAL DEL MERCAT","Serveis municipals","PAGADA","20000.00","20000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/12/30","B65234494","RODAMIENTOS ANMAR SL","SUPORT A LA CONTRACTACIÓ PRIVADA ANUAL","Promoció de la ciutat","PAGADA PARCIALMENTE","9000.00","9000.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
"2014","2014/03/13","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","PRÒRROGA ANY 2014 CONVENI COL·LABORACIÓ CE RUBÍ FUTBOL SALA","Esports","JUSTIFICADA PARCIALMENTE","81269.00","81269.00","2024/09/04 02:38:02","818460009","Ajuntament de Rubí"
