ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"2019","2019/12/20","G58221086","ASSOC PARES ALUMNES TORRE LLEBRE","CONVOCATORIA SUBVENCIO CASALS D'ESTIU 2019","Polítiques de Ciutadania","PAGADA","2053.75","2053.75","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/20","G58525643","CLUB PETANCA SANTA ROSA","SUBVENCIÓN 2019. C PETANCA SANTA ROSA. ACTIVIDADES DE TEMPORADA 2018-2019 Y TORNEO INTERNACIONAL DE PETANCA 2019","Esports","JUSTIFICADA PARCIALMENTE","2500.00","2500.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/20","G65876955","ASSOC SOLIDARITAT I AJUDA VEINAL (ASAV)","MODALITAT H) SUBVENCIONS DESTINADES A ENTITATS D'ACCIÓ SOCIAL","Sanitat i serveis socials","JUSTIFICADA","6000.00","6000.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/17","G59466011","CF JUVENTUT 25 DE SETEMBRE","Subvención 2019. CF JUVENTUD 25 DE  SEPTIEMBRE. Gestión de instalación deportiva, temp 18-19","Esports","JUSTIFICADA","8500.00","8500.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/06/13","G61004412","HOQUEI CLUB RUBI CENT PATINS","Subvención 2019. HCR Cent Patins. Competiciones nacionales, internacionales y federadas, temp 18-19","Esports","JUSTIFICADA PARCIALMENTE","9000.00","9000.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/10/23","Q0801862D","INSTITUT TORRENT DELS ALOUS","CURS 2018-2019 AJUTS ALS CENTRES EDUCATIUS PER A PROJECTES PEDAGÒGICS","Educació","JUSTIFICADA","2900.00","1152.78","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/10/23","Q5856151E","INSTITUT L'ESTATUT","CURS 2018-2019 AJUTS ALS CENTRES EDUCATIUS PER A PROJECTES PEDAGÒGICS","Educació","JUSTIFICADA","1379.35","1014.20","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/17","G59511048","ASOC DE VECINOS LAS TORRES RUBI 2000","MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ASSOCIACIONS DE VEÏNS","Infraestructures i suport entitats","JUSTIFICADA","2874.75","2874.75","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/06/13","G61139432","CLUB PETANCA UNION LAS TORRES RUBI","SUBVENCIÓN 2019. CLUB PETANCA UNIÓ LAS TORRES. TEMPORADA Y OPEN 2019","Esports","JUSTIFICADA PARCIALMENTE","5000.00","5000.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/10/23","Q5855635H","ESCOLA PAU CASALS","CURS 2018-2019 AJUTS ALS CENTRES EDUCATIUS PER A PROJECTES PEDAGÒGICS","Educació","JUSTIFICADA","1500.00","1389.20","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/11/20","S0800121F","CEE CA'N ORIOL","AJUT TRANSPORT CEE CA N'ORIOL CURS 2018-19","Educació","JUSTIFICADA","376.30","376.30","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/20","B61353751","MJ 60 ARQUITECTURA SL","Convocatòria subvencions impuls activitat empresarial 2019. Modalitat Comerç","Comerç i Indústria","PAGADA","935.71","935.71","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/07/30","G60423308","C E B  SANT JORDI","SUBVENCIÓN 2019. CEB SANT JORDI. ESCUELA DEPORTIVA TEMP 18-19","Esports","JUSTIFICADA","2500.00","2500.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/10/23","Q5855638B","ESCOLA TORRE DE LA LLEBRE","CURS 2018-2019 AJUTS ALS CENTRES EDUCATIUS PER A PROJECTES PEDAGÒGICS","Educació","JUSTIFICADA","3000.00","1337.04","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/12/30","G66914409","ASSOCIACIO ARKAM","Subvenció 2019 - Associació ARKAM","Cultura","JUSTIFICADA","5303.00","5303.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/09/17","G60554425","CLUB ESPORTIU HORITZO 1994","SUBVENCIÓN 2019. CE HORITZÓ. ACTIVIDADES DEPORTIVAS Y DEPORTIVO-SOCIALES, AÑO 2019","Esports","JUSTIFICADA PARCIALMENTE","4000.00","3600.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
"2019","2019/10/07","G65876955","ASSOC SOLIDARITAT I AJUDA VEINAL (ASAV)","LLUITA CONTRA LA PROBRESA I L'EXCLUSIÓ SOCIAL:BOTIGA SOLIDÀRIA","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","24500.00","24500.00","2024/09/03 13:13:34","818460009","Ajuntament de Rubí"
