ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2024","2024/05/29","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","Subvención 2024.CE Rubí Futbol Sala.Actividades equipos femeninos, temp 23-24","Esports","JUSTIFICADA","6000.00","6000.00","818460009","Ajuntament de Rubí"
"2024","2024/04/29","Q5856371I","ESCOLA SCHOLA","Ajuts per a projectes pedagògics curs 2023-2024 als centres educatius públics","Educació","JUSTIFICADA","1102.60","1102.60","818460009","Ajuntament de Rubí"
"2024","2024/07/17","R0800380H","CASA COLEGIO REGINA CARMELI RUBI","Subvención 2024.Regina Carmeli.Temporada deportiva de gimnasia femenina, temp 23-24","Esports","JUSTIFICADA","1000.00","1000.00","818460009","Ajuntament de Rubí"
"2024","2024/08/06","G60845922","RUBI SOLIDARI","LÍNIA 1.8A - ACTIVITATS DE SENSIBILITZACIÓ I EDUCACIÓ PER A LA CIUTADANIA GLOBAL","Polítiques de Ciutadania","PAGADA","15125.00","15125.00","818460009","Ajuntament de Rubí"
"2024","2024/05/08","Q2866001G","CRUZ ROJA ESPAÑOLA","COBERTURA NECESSITATS BÀSIQUES","Sanitat i serveis socials","REINTEGRADA","214500.00","214500.00","818460009","Ajuntament de Rubí"
"2024","2024/03/06","G60871761","CLUB VOLEIBOL RUBI","Subvención 2024. C Voleibol Rubí. Actividades equipos femeninos, temp 23-24","Esports","PAGADA","7500.00","7500.00","818460009","Ajuntament de Rubí"
"2024","2024/05/22","G60571668","UNIO ATLETICA RUBI","Subvención 2024.Unió Atlètica Rubí.Gestión instalación pista de atletismo, año 2024","Esports","PAGADA","78000.00","78000.00","818460009","Ajuntament de Rubí"
"2024","2024/10/29","G41571084","ASOC DE AMISTAD CON EL PUEBLO SAHARAUI","SUBVENCIÓ DIRECTA NOMINATIVA A LA ASOCIACIÓN DE AMISTAD CON EL PUEBLO SAHARAUI","Polítiques de Ciutadania","PAGADA","7000.00","7000.00","818460009","Ajuntament de Rubí"
"2024","2024/11/06","G64599509","CLUB ESCOLA DE FUTBOL CAN MIR","Subvención 2024.CEF Can Mir.Actividades de la temporada deportiva 2023-2024","Esports","PAGADA","2000.00","2000.00","818460009","Ajuntament de Rubí"
"2024","2024/02/02","G65698888","ASSOCIACIO DE VOLUNTARIS DE PROTECCIÓ CIVIL DE RUBI","SUBVENCIÓ ASSOCIACIÓ DE VOLUNTARIS DE PROTECCIÓ CIVIL (AVPCR) 2024","PROTECCIO CIVIL","PAGADA","20000.00","20000.00","818460009","Ajuntament de Rubí"
"2024","2024/10/24","J09710062","FRANKFURT CASA VALLES RUBI SCP","Convocatòria Subvencions 2024, Impuls activitat empresarial. Modalitat Comerç","Comerç i Indústria","PAGADA","2426.87","2426.87","818460009","Ajuntament de Rubí"
"2024","2024/04/19","G62129119","ASSOCIACIO GENT GRAN DE RUBI","FINANÇAMENT ACTIVITATS DE SEVILLANES, IOGA I BALLS EN LÍNIA","Polítiques de Ciutadania","JUSTIFICADA","4000.00","4000.00","818460009","Ajuntament de Rubí"
