ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2017","1","2017-Q1","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","346751.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 01","Secció 1","Districte 01 / Secció 1","15059.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 01","Secció 2","Districte 01 / Secció 2","18228.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 01","Secció 3","Districte 01 / Secció 3","39700.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 02","Secció 1","Districte 02 / Secció 1","18142.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 02","Secció 3","Districte 02 / Secció 3","18808.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 1","Districte 03 / Secció 1","10816.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 3","Districte 03 / Secció 3","18972.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 4","Districte 03 / Secció 4","15908.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 5","Districte 03 / Secció 5","18490.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 6","Districte 03 / Secció 6","17721.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 7","Districte 03 / Secció 7","18882.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 8","Districte 03 / Secció 8","10154.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 1","Districte 04 / Secció 1","15758.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 2","Districte 04 / Secció 2","14964.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 3","Districte 04 / Secció 3","14786.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 4","Districte 04 / Secció 4","21370.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 5","Districte 04 / Secció 5","18101.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 6","Districte 04 / Secció 6","15288.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 7","Districte 04 / Secció 7","15244.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 8","Districte 04 / Secció 8","9349.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 9","Districte 04 / Secció 9","38254.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 10","Districte 04 / Secció 10","24878.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 11","Districte 04 / Secció 11","22785.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 12","Districte 04 / Secció 12","14924.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 13","Districte 04 / Secció 13","19284.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 14","Districte 04 / Secció 14","15837.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 15","Districte 04 / Secció 15","13065.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 16","Districte 04 / Secció 16","17370.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 18","Districte 04 / Secció 18","12313.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 19","Districte 04 / Secció 19","11491.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 20","Districte 04 / Secció 20","11514.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 21","Districte 04 / Secció 21","41835.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 22","Districte 04 / Secció 22","18994.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 01","Secció 4","Districte 01 / Secció 4","16037.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 02","Secció 4","Districte 02 / Secció 4","10341.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 02","Secció 5","Districte 02 / Secció 5","8137.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 02","Secció 6","Districte 02 / Secció 6","14742.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 03","Secció 9","Districte 03 / Secció 9","29574.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 23","Districte 04 / Secció 23","12512.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 24","Districte 04 / Secció 24","10895.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 25","Districte 04 / Secció 25","9098.00","818460009","Ajuntament de Rubí"
"2017","1","2017-Q1","Districte 04","Secció 26","Districte 04 / Secció 26","21005.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","358923.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 01","Secció 1","Districte 01 / Secció 1","15367.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 01","Secció 2","Districte 01 / Secció 2","18376.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 01","Secció 3","Districte 01 / Secció 3","42004.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 1","Districte 02 / Secció 1","21038.00","818460009","Ajuntament de Rubí"
"2017","2","2017-Q2","Districte 02","Secció 3","Districte 02 / Secció 3","22232.00","818460009","Ajuntament de Rubí"
