ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","2018-Q1","1","2018-01","1","Gener","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","13317181.03","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 01","Secció 1","Districte 01 / Secció 1","63474.97","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 01","Secció 2","Districte 01 / Secció 2","135616.74","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 01","Secció 3","Districte 01 / Secció 3","130353.77","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 02","Secció 1","Districte 02 / Secció 1","77971.97","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 02","Secció 3","Districte 02 / Secció 3",,"818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 1","Districte 03 / Secció 1","95849.33","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 3","Districte 03 / Secció 3","87140.31","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 4","Districte 03 / Secció 4","178729.89","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 5","Districte 03 / Secció 5","287618.54","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 6","Districte 03 / Secció 6","278316.91","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 7","Districte 03 / Secció 7","245432.67","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 03","Secció 8","Districte 03 / Secció 8","16614.41","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 1","Districte 04 / Secció 1","144357.49","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 2","Districte 04 / Secció 2","164751.83","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 3","Districte 04 / Secció 3","114128.95","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 4","Districte 04 / Secció 4","11899.16","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 5","Districte 04 / Secció 5","171929.35","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 6","Districte 04 / Secció 6","137853.31","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 7","Districte 04 / Secció 7","200070.74","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 8","Districte 04 / Secció 8","127283.08","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 9","Districte 04 / Secció 9","128495.50","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 10","Districte 04 / Secció 10","251414.96","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 11","Districte 04 / Secció 11","220225.69","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 12","Districte 04 / Secció 12","165630.88","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 13","Districte 04 / Secció 13","258202.55","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 14","Districte 04 / Secció 14","159885.52","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 15","Districte 04 / Secció 15","143262.55","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-01","1","Gener","Districte 04","Secció 16","Districte 04 / Secció 16","150986.94","818460009","Ajuntament de Rubí"
