ANY,"DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_M3,CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2019","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","948428.00","10432708.00","818460009","Ajuntament de Rubí"
"2019","Districte 01","Secció 1","Districte 01 / Secció 1","233272.00","2565992.00","818460009","Ajuntament de Rubí"
"2019","Districte 01","Secció 2","Districte 01 / Secció 2","200552.00","2206072.00","818460009","Ajuntament de Rubí"
"2019","Districte 01","Secció 3","Districte 01 / Secció 3","475567.00","5231237.00","818460009","Ajuntament de Rubí"
"2019","Districte 02","Secció 1","Districte 02 / Secció 1","189610.00","2085710.00","818460009","Ajuntament de Rubí"
"2019","Districte 02","Secció 3","Districte 02 / Secció 3","199154.00","2190694.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 1","Districte 03 / Secció 1","273712.00","3010832.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 3","Districte 03 / Secció 3","188527.00","2073797.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 4","Districte 03 / Secció 4","171851.00","1890361.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 5","Districte 03 / Secció 5","272939.00","3002329.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 6","Districte 03 / Secció 6","170630.00","1876930.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 7","Districte 03 / Secció 7","252087.00","2772957.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 8","Districte 03 / Secció 8","96378.00","1060158.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 1","Districte 04 / Secció 1","263838.00","2902218.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 2","Districte 04 / Secció 2","299255.00","3291805.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 3","Districte 04 / Secció 3","261087.00","2871957.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 4","Districte 04 / Secció 4","324172.00","3565892.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 5","Districte 04 / Secció 5","306472.00","3371192.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 6","Districte 04 / Secció 6","237093.00","2608023.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 7","Districte 04 / Secció 7","269482.00","2964302.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 8","Districte 04 / Secció 8","122692.00","1349612.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 9","Districte 04 / Secció 9","320683.00","3527513.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 10","Districte 04 / Secció 10","280272.00","3082992.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 11","Districte 04 / Secció 11","295877.00","3254647.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 12","Districte 04 / Secció 12","216354.00","2379894.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 13","Districte 04 / Secció 13","181733.00","1999063.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 14","Districte 04 / Secció 14","285991.00","3145901.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 15","Districte 04 / Secció 15","155680.00","1712480.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 16","Districte 04 / Secció 16","313387.00","3447257.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 18","Districte 04 / Secció 18","172659.00","1899249.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 19","Districte 04 / Secció 19","133027.00","1463297.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 20","Districte 04 / Secció 20","106217.00","1168387.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 21","Districte 04 / Secció 21","348936.00","3838296.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 22","Districte 04 / Secció 22","387112.00","4258232.00","818460009","Ajuntament de Rubí"
"2019","Districte 01","Secció 4","Districte 01 / Secció 4","196003.00","2156033.00","818460009","Ajuntament de Rubí"
"2019","Districte 02","Secció 4","Districte 02 / Secció 4","388017.00","4268187.00","818460009","Ajuntament de Rubí"
"2019","Districte 02","Secció 5","Districte 02 / Secció 5","124392.00","1368312.00","818460009","Ajuntament de Rubí"
"2019","Districte 02","Secció 6","Districte 02 / Secció 6","176620.00","1942820.00","818460009","Ajuntament de Rubí"
"2019","Districte 03","Secció 9","Districte 03 / Secció 9","434917.00","4784087.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 23","Districte 04 / Secció 23","149974.00","1649714.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 24","Districte 04 / Secció 24","202075.00","2222825.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 25","Districte 04 / Secció 25","100188.00","1102068.00","818460009","Ajuntament de Rubí"
"2019","Districte 04","Secció 26","Districte 04 / Secció 26","264599.00","2910589.00","818460009","Ajuntament de Rubí"
