ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,"CODI_ENS","NOM_ENS"
"2584184643","2023-1U015-46101","Subvencions diverses Diputació,","2023","1U015","111","46101","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46101","SUBVENCIONS DIVERSES DIPUTACIÓ","0.00","0.00","0.00","0.00","0.00","20000.00","20000.00","0.00","20000.00","0.00","0","818460009","Ajuntament de Rubí"
"1596241324","2023-1U015-46133","DIBA - Polítiques de teixit productiu OSE","2023","1U015","111","46133","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46133","DIBA - SUBVENCIONS","96749.55","114234.05","17484.50","17484.50","0.00","34051.75","34051.75","0.00","34051.75","0.00","29.8","818460009","Ajuntament de Rubí"
"4132348385","2023-1U015-79700","Altres transferències de la Unió Europea.","2023","1U015","111","79700","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U015","OFICINA DE SERVEI A L'EMPRESA","7","TRANSFERÈNCIES DE CAPITAL.","79","DE L'EXTERIOR.","797","ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.","79700","ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"3682953553","2023-1U016-46104","Resiliència 3.0","2023","1U016","111","46104","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46104","DIBA - AJUTS","0.00","35937.75","35937.75","35937.75","0.00","35937.75","35937.75","0.00","35937.75","0.00","100","818460009","Ajuntament de Rubí"
"432775079","2023-1U016-46132","DIBA - Ajuts Dinamització teixit comercial","2023","1U016","111","46132","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46132","DIBA-AJUTS IMPLANTAR MESURES DINAMITZACIÓ COMERCIAL (COMERÇ)","10000.00","14328.00","4328.00","4328.00","0.00","9544.00","9544.00","0.00","9544.00","0.00","66.6","818460009","Ajuntament de Rubí"
"1858907953","2023-1U016-46133","DIBA- Projecte implantació moneda Local","2023","1U016","111","46133","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46133","DIBA - SUBVENCIONS","0.00","14000.00","14000.00","14000.00","0.00","14000.00","14000.00","0.00","14000.00","0.00","100","818460009","Ajuntament de Rubí"
"2276395524","2023-1U016-46135","DIBA - Estudi pel canvi d'ubicació del mercat no sedentari","2023","1U016","111","46135","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U016","COMERÇ","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46135","DIBA - SUBVENCIONS","0.00","4200.00","4200.00","4200.00","0.00","4200.00","4200.00","0.00","4200.00","0.00","100","818460009","Ajuntament de Rubí"
"819031950","2023-1U053-32500","MERCAT.Expedició de documents","2023","1U053","111","32500","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","325","TAXA PER EXPEDICIÓ DE DOCUMENTS.","32500","EXPEDICIÓ DE DOCUMENTS","500.00","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","818460009","Ajuntament de Rubí"
"1051087603","2023-1U053-32904","MERCAT.Serveis de mercat","2023","1U053","111","32904","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","32","TAXES PER LA REALIZAC DE ACTIVID DE COMPETÈNCIA LOCAL.","329","ALTRES TAXES PER LA REALIZAC DE ACTIVID DE COMPET LOCAL","32904","SERVEIS DE MERCAT","379813.59","379813.59","0.00","0.00","0.00","352417.35","351912.00","505.35","317030.56","0.00","92.7","818460009","Ajuntament de Rubí"
"410951733","2023-1U053-33903","MERCADAL.Taxes Comerç Ambulant","2023","1U053","111","33903","1","ÀREA D'INDÚSTRIA, COMERÇ I OCUPACIÓ","1U053","MERCAT","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33903","MERCADAL","49637.50","49637.50","0.00","0.00","0.00","44854.69","43175.00","1679.69","35130.53","0.00","87","818460009","Ajuntament de Rubí"
