ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2026","2026/06/10","S0800619I","INSTITUT ESCOLA TERESA ALTET","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","997.19","997.19","818460009","Ajuntament de Rubí"
"2026","2026/05/22","G59527903","CD OLIMPIC CAN FATJO","Subvención 2026.CE Olímpic Can Fatjó.Competiciones equipos femeninos, temp.25-26","Esports","ORDENADO EL PAGO","4000.00","4000.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855638B","ESCOLA TORRE DE LA LLEBRE","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","931.08","931.08","818460009","Ajuntament de Rubí"
"2026","2026/06/10","S0800276H","ESCOLA RIVO RUBEO","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1462.73","1462.73","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855633C","ESCOLA MOSSEN CINTO VERDAGUER","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","976.09","976.09","818460009","Ajuntament de Rubí"
"2026","2026/03/30","G60571668","UNIO ATLETICA RUBI","Subvención 2026.Unió Atlètica Rubí.Actividades competiciones femeninas, año 2026","Esports","PAGADA","3000.00","3000.00","818460009","Ajuntament de Rubí"
"2026","2026/03/30","G60571668","UNIO ATLETICA RUBI","Subvención 2026.Unió Atlètica Rubí.Gestión pista atletismo año 2026","Esports","PAGADA","82000.00","82000.00","818460009","Ajuntament de Rubí"
"2026","2026/05/20","G60423308","C E B  SANT JORDI","Subvención 2026. Gestión instalación deportiva 25-26","Esports","PAGADA","8500.00","8500.00","818460009","Ajuntament de Rubí"
"2026","2026/05/20","G60423308","C E B  SANT JORDI","Subvención 2026. CEB Sant Jordi. Temporada deportiva equipos masculinos 25-26","Esports","PAGADA","5000.00","5000.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855635H","ESCOLA PAU CASALS","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1796.06","1796.06","818460009","Ajuntament de Rubí"
"2026","2026/04/29","G61004412","HOQUEI CLUB RUBI CENT PATINS","Subvención 2026.HCR Cent Patins.Subvención organización escuela deportiva, tmp 25-26","Esports","PAGADA","1200.00","1200.00","818460009","Ajuntament de Rubí"
"2026","2026/04/29","G61004412","HOQUEI CLUB RUBI CENT PATINS","Subvención 2026.HCR Cent Patins.Actividades competiciones equipos masculinos, tmp 25-26","Esports","PAGADA","14000.00","14000.00","818460009","Ajuntament de Rubí"
"2026","2026/05/22","G59527903","CD OLIMPIC CAN FATJO","Subvención 2026.CE Olímpic Can Fatjó.Competiciones equipos masculinos, temp.25-26","Esports","ORDENADO EL PAGO","14000.00","14000.00","818460009","Ajuntament de Rubí"
"2026","2026/05/20","G60423308","C E B  SANT JORDI","Subvención 2026. CEB Sant Jordi. Temporada deportiva equipos femeninos 25-26","Esports","PAGADA","4000.00","4000.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855672A","INSTITUT J V FOIX","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","CONCESSIÓ VALIDADA O APROVADA","1153.31","1153.31","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5856371I","ESCOLA SCHOLA","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1042.19","1042.19","818460009","Ajuntament de Rubí"
"2026","2026/06/10","S5800028B","INSTITUT LA SERRETA","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","CONCESSIÓ VALIDADA O APROVADA","1153.31","1153.31","818460009","Ajuntament de Rubí"
"2026","2026/04/29","G60554425","CLUB ESPORTIU HORITZO 1994","SUBVENCIÓ DIRECTA NOMINATIVA CLUB ESPORTIU HORITZÓ","Sanitat i serveis socials","PAGADA","5700.00","5700.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5856151E","INSTITUT L'ESTATUT","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","CONCESSIÓ VALIDADA O APROVADA","1441.63","1441.63","818460009","Ajuntament de Rubí"
"2026","2026/04/20","G62631932","FRATER-NADAL SERVEI SOCIAL EVANGELIC","Projecte Rebost solidari","Sanitat i serveis socials","PAGADA","40000.00","40000.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855634A","ESCOLA MONTESSORI","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1330.52","1330.52","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q0801826I","ESCOLA DEL BOSC","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","931.08","931.08","818460009","Ajuntament de Rubí"
"2026","2026/06/10","S0800117D","ESCOLA CA N'ALZAMORA","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1684.95","1684.95","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855637D","ESCOLA 25 DE SETEMBRE","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1552.74","1552.74","818460009","Ajuntament de Rubí"
"2026","2026/04/08","G58203183","ESBART DANSAIRE DE RUBI","Campanya de dansa tradicional catalana a les escoles . Curs2025-26","Educació","PAGADA","33544.00","33544.00","818460009","Ajuntament de Rubí"
"2026","2026/03/30","G60571668","UNIO ATLETICA RUBI","Subvención 2026.Unió Atlètica Rubí.Actividades competiciones masculinas, año 2026","Esports","PAGADA","9000.00","9000.00","818460009","Ajuntament de Rubí"
"2026","2026/05/28","R0801934A","CARITAS DIOCESANA DE TERRASSA","Projectes per a la cobertura de necessitats bàsiques de persones en situacions socioeconòmiques desfavorides","Sanitat i serveis socials","RECONOCIDA LA OBLIGACIÓN","38000.00","38000.00","818460009","Ajuntament de Rubí"
"2026","2026/05/20","G60423308","C E B  SANT JORDI","Subvención 2026. CEB Sant Jordi. Escuela deportiva temporada 25-26","Esports","PAGADA","2500.00","2500.00","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855469B","INSTITUT DUC DE MONTBLANC","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1507.74","1507.74","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q0801862D","INSTITUT TORRENT DELS ALOUS","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","1108.30","1108.30","818460009","Ajuntament de Rubí"
"2026","2026/06/10","Q5855553C","ESCOLA RAMON LLULL","Curs 2025-2026 .Ajuts a centres educatius públics per a Projectes Pedagògics","Educació","RECONOCIDA LA OBLIGACIÓN","931.08","931.08","818460009","Ajuntament de Rubí"
"2026","2026/04/29","G61004412","HOQUEI CLUB RUBI CENT PATINS","Subvención 2026.HCR Cent Patins.Subvención actividades competiciones femeninas, tmp 25-26","Esports","PAGADA","10000.00","10000.00","818460009","Ajuntament de Rubí"
