ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2013","2013/07/31","G61313516","FEDERACIO D'ASSOCIACIONS DE COMERCIANTS DE RUBI","SUBVENCIO NOMINATIVA FEDERACIO D'ASSOCIACIONS DE COMERCIANTS I GREMIS DE RUBÍ","Comerç i Indústria","PAGADA","25000.00","25000.00","818460009","Ajuntament de Rubí"
"2013","2013/04/11","Q2866001G","CRUZ ROJA ESPAÑOLA","SEGON PAGAMENT APORTACIÓ 2012 GESTIÓ PUNT DE TROBADA","Sanitat i serveis socials","JUSTIFICADA","451.00","451.00","818460009","Ajuntament de Rubí"
"2013","2013/06/05","Q5856371I","ESCOLA SCHOLA","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","2106.19","2106.19","818460009","Ajuntament de Rubí"
"2013","2013/02/12","G60571668","UNIO ATLETICA RUBI","SUBV UAR 50% QUOTES PRÉSTECS OBRES PISTA ATLETISME CAN ROSÉS","Esports","JUSTIFICADA PARCIALMENTE","19825.14","19825.14","818460009","Ajuntament de Rubí"
"2013","2013/06/05","Q5855634A","ESCOLA MONTESSORI","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","3811.21","3811.21","818460009","Ajuntament de Rubí"
"2013","2013/06/05","S0800276H","ESCOLA RIVO RUBEO","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","3410.03","3410.03","818460009","Ajuntament de Rubí"
"2013","2013/06/05","Q5855636F","ESCOLA TERESA ALTET","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","3811.21","3811.21","818460009","Ajuntament de Rubí"
"2013","2013/06/05","Q5855638B","ESCOLA TORRE DE LA LLEBRE","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","2306.78","2306.78","818460009","Ajuntament de Rubí"
"2013","2013/06/05","Q5855639J","ESCOLA JOAN MARAGALL","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","3811.21","3811.21","818460009","Ajuntament de Rubí"
"2013","2013/06/05","S0800117D","ESCOLA CA N'ALZAMORA","AJUTS MANTENIMENT CORRECTIU PER ALS CENTRES D'EDUCACIÓ INFATIL I PRIMARIA","Educació","JUSTIFICADA","3811.21","3811.21","818460009","Ajuntament de Rubí"
