"ADREÇA","TIPUS_VIA","CARRER","NUM",NUM_1,NUM_2,"DUPLI_1","DUPLI_2",KM,"BLOC",LONGITUD,LATITUD,"CODI_POSTAL","MUNICIPI","PARCELA_CATASTRAL","CODI_AREA_SALUT","AREA_SALUT","CODI_POLIGON","POLIGON","CODI_ZONA_ESCOLAR","ZONA_ESCOLAR","DISTRICTE_CENSAL","SECCIO_CENSAL","CODI_DISTRICTE_ADMINISTRATIU","DISTRICTE_ADMINISTRATIU","CODI_ENS","NOM_ENS"
"C ABAT ESCARRE, 0","C","ABAT ESCARRE","0","0","0",,,"0",,,,"08191","RUBI",,"2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte Desconegut","Secció Censal Desconeguda",,"Districte Administratiu Desconegut","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 0-4","C","ABAT ESCARRE","0-4","0","4",,,"0",,,,"08191","RUBI",,"2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte Desconegut","Secció Censal Desconeguda",,"Districte Administratiu Desconegut","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 1","C","ABAT ESCARRE","1","1","0",,,"0",,"2.0316902915629913","41.48683690569983","08191","RUBI","9335004DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 2","C","ABAT ESCARRE","2","2","0",,,"0",,"2.0316538636343893","41.4866440370164","08191","RUBI","9334801DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 3","C","ABAT ESCARRE","3","3","0",,,"0",,"2.0318342611450433","41.48681514333933","08191","RUBI","9335004DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 7","C","ABAT ESCARRE","7","7","0",,,"0",,"2.0320051474018395","41.48678893844304","08191","RUBI","9335003DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 8","C","ABAT ESCARRE","8","8","0",,,"0",,"2.0319550204813996","41.48657521736805","08191","RUBI","9334801DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 10","C","ABAT ESCARRE","10","10","0",,,"0",,"2.0323056002948356","41.48663450589205","08191","RUBI","9334301DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 11","C","ABAT ESCARRE","11","11","0",,,"0",,"2.032343001555302","41.48674133699781","08191","RUBI","9335411DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 11-13","C","ABAT ESCARRE","11-13","11","13",,,"0",,"2.032343001555302","41.48674133699781","08191","RUBI","9335411DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 12","C","ABAT ESCARRE","12","12","0",,,"0",,"2.0323754861291428","41.486622375546965","08191","RUBI","9334302DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 14","C","ABAT ESCARRE","14","14","0",,,"0",,"2.0324800369525318","41.48660723972242","08191","RUBI","9334303DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 15","C","ABAT ESCARRE","15","15","0",,,"0",,"2.032568311722755","41.486701726106155","08191","RUBI","9335410DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 16","C","ABAT ESCARRE","16","16","0",,,"0",,"2.03258218986694","41.486590915760466","08191","RUBI","9334304DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 17","C","ABAT ESCARRE","17","17","0",,,"0",,"2.0326638859602806","41.48669174146552","08191","RUBI","9335409DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 18","C","ABAT ESCARRE","18","18","0",,,"0",,"2.0326833444352563","41.48657709216709","08191","RUBI","9334305DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 19","C","ABAT ESCARRE","19","19","0",,,"0",,"2.032738037961959","41.48667989458821","08191","RUBI","9335408DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 20","C","ABAT ESCARRE","20","20","0",,,"0",,"2.032771070333571","41.486564699088845","08191","RUBI","9334312DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 21","C","ABAT ESCARRE","21","21","0",,,"0",,"2.0328556235209327","41.48667008308473","08191","RUBI","9335407DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 22","C","ABAT ESCARRE","22","22","0",,,"0",,"2.033114013834964","41.486511561704084","08191","RUBI","9434001DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 23","C","ABAT ESCARRE","23","23","0",,,"0",,"2.0330363956897175","41.48662800418823","08191","RUBI","9635507DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 24","C","ABAT ESCARRE","24","24","0",,,"0",,"2.0333346785745623","41.48647760528266","08191","RUBI","9434002DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 26","C","ABAT ESCARRE","26","26","0",,,"0",,"2.033723274220122","41.48642227137571","08191","RUBI","9434401DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 005 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 27","C","ABAT ESCARRE","27","27","0",,,"0",,"2.033238519654399","41.48660085383817","08191","RUBI","9635506DF1993N","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 005 del D. 04","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 28","C","ABAT ESCARRE","28","28","0",,,"0",,"2.0338859926752284","41.48639904205558","08191","RUBI","9434402DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 005 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 34","C","ABAT ESCARRE","34","34","0",,,"0",,"2.035114607987139","41.4861865702191","08191","RUBI","9433201DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 006 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 36","C","ABAT ESCARRE","36","36","0",,,"0",,"2.035528215904971","41.486123066889554","08191","RUBI","9633702DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 006 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 45-47","C","ABAT ESCARRE","45-47","45","47",,,"0",,"2.034386103659302","41.48643747686011","08191","RUBI","9534115DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 005 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C MOLI, 0","C","MOLI","0","0","0",,,"0",,,,"08191","RUBI",,"3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte Desconegut","Secció Censal Desconeguda","DA4","Districte Administratiu 4 - CENTRE","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 49","C","ABAT ESCARRE","49","49","0",,,"0",,"2.0346791012583396","41.486391621161545","08191","RUBI","9534114DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 005 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABAT ESCARRE, 51","C","ABAT ESCARRE","51","51","0",,,"0",,"2.0347958277877045","41.4863741637295","08191","RUBI","9534114DF1993S","2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 03","S. 005 del D. 03","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABRERA, 0","C","ABRERA","0","0","0",,,"0",,,,"08191","RUBI",,"3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte Desconegut","Secció Censal Desconeguda","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 0-21","C","ABRERA","0-21","0","21",,,"0",,"2.0018609991303644","41.51959290616117","08191","RUBI","6871310DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte Desconegut","Secció Censal Desconeguda","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 2","C","ABRERA","2","2","0",,,"0",,"2.0036022060104695","41.518899522622924","08191","RUBI","6871218DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 4","C","ABRERA","4","4","0",,,"0",,"2.0034551518832027","41.51899784345586","08191","RUBI","6871216DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 5","C","ABRERA","5","5","0",,,"0",,"2.003191577121732","41.519037338903296","08191","RUBI","6871317DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 6","C","ABRERA","6","6","0",,,"0",,"2.003322340055647","41.51908900519173","08191","RUBI","6871215DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 8","C","ABRERA","8","8","0",,,"0",,"2.003170368935881","41.51917287614233","08191","RUBI","6871214DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 9","C","ABRERA","9","9","0",,,"0",,"2.0029082968809724","41.51917944367347","08191","RUBI","6871315DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 10","C","ABRERA","10","10","0",,,"0",,"2.0029446144456506","41.519270119247764","08191","RUBI","6871213DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 11","C","ABRERA","11","11","0",,,"0",,"2.002600798036569","41.519300678782585","08191","RUBI","6871314DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 13","C","ABRERA","13","13","0",,,"0",,"2.023447189756388","41.48577103818971","08191","RUBI","8634713DF1983S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 14","C","ABRERA","14","14","0",,,"0",,"2.0027139152853604","41.51936335257226","08191","RUBI","6871212DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 18","C","ABRERA","18","18","0",,,"0",,"2.002502207368807","41.51944465155881","08191","RUBI","6871211DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 20","C","ABRERA","20","20","0",,,"0",,"2.0023586866730936","41.519518535142275","08191","RUBI","6871219DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 21","C","ABRERA","21","21","0",,,"0",,"2.0018609991303644","41.51959290616117","08191","RUBI","6871310DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 25","C","ABRERA","25","25","0",,,"0",,"2.001536532421782","41.519731502561484","08191","RUBI","6871308DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 34","C","ABRERA","34","34","0",,,"0",,"2.0011486182217886","41.52000057188124","08191","RUBI","6871205DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 36","C","ABRERA","36","36","0",,,"0",,"2.0009892075535034","41.52006833650276","08191","RUBI","6871204DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 37","C","ABRERA","37","37","0",,,"0",,"2.000506530887341","41.520156045015185","08191","RUBI","6871302DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 38","C","ABRERA","38","38","0",,,"0",,"2.0008189840901056","41.52014089734469","08191","RUBI","6871203DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 41","C","ABRERA","41","41","0",,,"0",,"1.999764527759174","41.520461750742804","08191","RUBI","6573520DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 42","C","ABRERA","42","42","0",,,"0",,"2.000207981732264","41.52038813870758","08191","RUBI","6573018DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 44","C","ABRERA","44","44","0",,,"0",,"2.0000141510478833","41.52045716640615","08191","RUBI","6573017DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 45","C","ABRERA","45","45","0",,,"0",,"1.999498340161571","41.52062079425775","08191","RUBI","6573518DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 50","C","ABRERA","50","50","0",,,"0",,"1.9995737354358847","41.52072044508045","08191","RUBI","6573014DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 51","C","ABRERA","51","51","0",,,"0",,"1.9990216838335375","41.5207102636458","08191","RUBI","6573516DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 52","C","ABRERA","52","52","0",,,"0",,"1.9994357089615737","41.52078460893908","08191","RUBI","6573013DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 53","C","ABRERA","53","53","0",,,"0",,"1.9988282915916944","41.52071142268991","08191","RUBI","6573515DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 54","C","ABRERA","54","54","0",,,"0",,"1.999152565527085","41.5208147876412","08191","RUBI","6573011DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C NEWTON, 25","C","NEWTON","25","25","0",,,"0",,,,"08191","RUBI",,"2","Àrea Bàsica de Salut Rubí 2 - CAP ANTON DE BORJA","ECIT","Entorn CIT","ZE4 B","ZONA ESCOLAR B","Districte 04","S. 022 del D. 04","DA6","Districte Administratiu 6 - EST","818460009","Ajuntament de Rubí"
"C ABRERA, 56","C","ABRERA","56","56","0",,,"0",,"1.9989572789014263","41.52081015085021","08191","RUBI","6573011DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 62","C","ABRERA","62","62","0",,,"0",,"1.998439301683795","41.52100905937903","08191","RUBI","6573008DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 64","C","ABRERA","64","64","0",,,"0",,"1.9982974641110045","41.521083677734424","08191","RUBI","6573007DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 66","C","ABRERA","66","66","0",,,"0",,"1.9981279546266655","41.5211463623338","08191","RUBI","6573006DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 69","C","ABRERA","69","69","0",,,"0",,"1.9974936376066772","41.52121376652872","08191","RUBI","6573507DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 70","C","ABRERA","70","70","0",,,"0",,"1.9976481085714095","41.52127593705731","08191","RUBI","6573004DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 70-72","C","ABRERA","70-72","70","72",,,"0",,"1.9976481085714095","41.52127593705731","08191","RUBI","6573004DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 73","C","ABRERA","73","73","0",,,"0",,"1.9972379304616361","41.521373257627424","08191","RUBI","6573523DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
"C ABRERA, 74","C","ABRERA","74","74","0",,,"0",,"1.997405087204487","41.52140035076766","08191","RUBI","6573003DF1967S","3","Àrea Bàsica de Salut Rubí 3 - CAP SANT GENIS","ECIT","Entorn CIT","ZE4 A","ZONA ESCOLAR A","Districte 02","S. 003 del D. 02","DA2","Districte Administratiu 2 - NORD-OEST","818460009","Ajuntament de Rubí"
