DATA,"ALT_CARREC","CARREC","TEMA","GRUP_INTERES","ESTAT_REGISTRE","NUMERO_REGISTRE","LLOC","TIPUS_ACTIVITAT","ACTIVITAT",PARTICIPANTS,HORES_ALT_CARREC,"CODI_ENS","NOM_ENS"
"2021/01/08","JUAN LOPEZ NUÑEZ","CINQUÈ TINENT D'ALCALDIA. REGIDOR PSC","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","RAFAEL GÜETO ORTIZ","QUART TINENT D'ALCALDIA. REGIDOR PSC","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","MARIA DEL CARMEN CEBRIAN ORDOÑEZ","TERCERA TINENT D'ALCALDIA. REGIDORA PSC","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","JORDI NUÑEZ FREIXA","GERENT","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","ANDRES MEDRANO MUÑOZ","REGIDOR ECP","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","MARTA OLIVA MARTIN","REGIDORA PSC","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","ANNIA GARCIA MORENO","SEGONA TINENT D'ALCALDIA. REGIDORA ECP","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","MOISES RODRIGUEZ CANTON","PIMER TINENT D'ALCALDIA. REGIDOR PSC.","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/08","YOLANDA FERRER POLO","REGIDORA PSC","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/11","YOLANDA FERRER POLO","REGIDORA PSC","2a sessió red temàtica: Ciudad inclusiva, ciudad educadora",,,,,"Activitat institucional","Reunió","1","2.50","818460009","Ajuntament de Rubí"
"2021/01/12","PABLO NAVARRO CANO","REGIDOR ECP","Reunió amb Fons Català de Cooperació",,,,,"Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/01/14","VICTOR GARCIA CORREAS","REGIDOR PSC","Gestió PEE-PMOE (Educació-Ensenyament-Inspecció)",,,,,"Activitat institucional","Reunió","1","1.00","818460009","Ajuntament de Rubí"
"2021/01/14","YOLANDA FERRER POLO","REGIDORA PSC","Reunió amb Fundació Fupar",,,,,"Activitat institucional","Reunió","1","1.50","818460009","Ajuntament de Rubí"
"2021/01/14","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reunió amb direcció Escola Balmes",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","2","1.00","818460009","Ajuntament de Rubí"
"2021/01/14","VICTOR GARCIA CORREAS","REGIDOR PSC","Reunió amb direcció Escola Balmes",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","2","1.00","818460009","Ajuntament de Rubí"
"2021/01/15","VICTOR GARCIA CORREAS","REGIDOR PSC","Reunió amb les escoles concertades per parlar sobre les jornades de portes obertes",,,,,"Activitat institucional","Reunió","1","1.00","818460009","Ajuntament de Rubí"
"2021/01/15","MIGUEL ANGEL ROMERO ALCALDE","REGIDOR PSC","Canvi nom plaça Nova a plaça de Neus Català",,,,"RUBIFORMA","Activitat institucional","Reunió","8","1.00","818460009","Ajuntament de Rubí"
"2021/01/15","PABLO NAVARRO CANO","REGIDOR ECP","Canvi nom plaça Nova a plaça de Neus Català",,,,"RUBIFORMA","Activitat institucional","Reunió","8","1.00","818460009","Ajuntament de Rubí"
"2021/01/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Plantada de bandera 162a Festa gran d'hivern",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/01/16","ANNIA GARCIA MORENO","SEGONA TINENT D'ALCALDIA. REGIDORA ECP","Plantada de bandera 162a Festa gran d'hivern",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/01/16","MOISES RODRIGUEZ CANTON","PIMER TINENT D'ALCALDIA. REGIDOR PSC.","Plantada de bandera 162a Festa gran d'hivern",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/01/20","ANNIA GARCIA MORENO","SEGONA TINENT D'ALCALDIA. REGIDORA ECP","Junta ordinària de portaveus",,,,,"Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2021/01/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta ordinària de portaveus",,,,,"Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2021/01/20","MOISES RODRIGUEZ CANTON","PIMER TINENT D'ALCALDIA. REGIDOR PSC.","Junta ordinària de portaveus",,,,,"Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2021/01/21","VICTOR GARCIA CORREAS","REGIDOR PSC","Reunió amb el seminari de directors sobre el vídeo de les jornades de portes obertes",,,,,"Activitat institucional","Reunió","1","1.00","818460009","Ajuntament de Rubí"
"2021/01/21","VICTOR GARCIA CORREAS","REGIDOR PSC","Presentació jornada FP Dual",,,,,"Activitat institucional","Acte","1","0.50","818460009","Ajuntament de Rubí"
"2021/01/21","ANDRES MEDRANO MUÑOZ","REGIDOR ECP","Projecte ImPACTE Jove/Verd",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","1.50","818460009","Ajuntament de Rubí"
"2021/01/21","VICTOR GARCIA CORREAS","REGIDOR PSC","Projecte ImPACTE Jove/Verd",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","1.50","818460009","Ajuntament de Rubí"
"2021/01/21","ANNABEL CUESTA FABRE","REGIDORA PSC","Projecte ImPACTE Jove/Verd",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","1.50","818460009","Ajuntament de Rubí"
"2021/01/21","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Projecte ImPACTE Jove/Verd",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","1.50","818460009","Ajuntament de Rubí"
"2021/01/22","PABLO NAVARRO CANO","REGIDOR ECP","Assemblea CCASPS",,,,,"Activitat institucional","Acte","1","1.50","818460009","Ajuntament de Rubí"
"2021/01/26","VICTOR GARCIA CORREAS","REGIDOR PSC","Reunió amb Serveis Territorials Ensenyament: planificació escolar",,,,,"Activitat institucional","Reunió","1","1.00","818460009","Ajuntament de Rubí"
"2021/01/26","PABLO NAVARRO CANO","REGIDOR ECP","Trobada agents antirumors",,,,"ATENEU MUNICIPAL","Activitat institucional","Acte","3","1.50","818460009","Ajuntament de Rubí"
"2021/01/27","VICTOR GARCIA CORREAS","REGIDOR PSC","Presentació dels resultats de l'Enquesta d'usos lingüístics de la població 2018 al Vallès Occidental i al Vallès Oriental",,,,,"Activitat institucional","Acte","1","1.00","818460009","Ajuntament de Rubí"
"2021/01/28","VICTOR GARCIA CORREAS","REGIDOR PSC","Visita Escola Hosteleria Sta. Coloma",,,,"Escola Hosteleria Sta. Coloma","Activitat institucional","Reunió","1","1.75","818460009","Ajuntament de Rubí"
"2021/01/28","PABLO NAVARRO CANO","REGIDOR ECP","Comissió Drets Humans - Fons Català de cooperació",,,,,"Activitat institucional","Acte","1","2.00","818460009","Ajuntament de Rubí"
"2021/01/28","VICTOR GARCIA CORREAS","REGIDOR PSC","Formació: Avancem en la co-construcció de la Ciutat Educadora: de la Guia a la realitat del meu municipi",,,,,"Activitat institucional","Acte","1","2.00","818460009","Ajuntament de Rubí"
"2021/01/28","MARTA OLIVA MARTIN","REGIDORA PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","RAFAEL GÜETO ORTIZ","QUART TINENT D'ALCALDIA. REGIDOR PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","PABLO NAVARRO CANO","ASSESSOR GOVERN","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","ANNIA GARCIA MORENO","SEGONA TINENT D'ALCALDIA. REGIDORA ECP","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","MOISES RODRIGUEZ CANTON","PIMER TINENT D'ALCALDIA. REGIDOR PSC.","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","YOLANDA FERRER POLO","REGIDORA PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","ANNABEL CUESTA FABRE","REGIDORA PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","ANDRES MEDRANO MUÑOZ","REGIDOR ECP","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","MARIA DEL CARMEN CEBRIAN ORDOÑEZ","TERCERA TINENT D'ALCALDIA. REGIDORA PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","VICTOR GARCIA CORREAS","REGIDOR PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","MIGUEL ANGEL ROMERO ALCALDE","REGIDORA PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/28","JUAN LOPEZ NUÑEZ","CINQUÈ TINENT D'ALCALDIA. REGIDOR PSC","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/01/29","MARIA DEL CARMEN CEBRIAN ORDOÑEZ","TERCERA TINENT D'ALCALDIA. REGIDORA PSC","Renovació Junta Associació Gent Gran","ASSOCIACIÓ DE GENT GRAN DE RUBÍ","Registrat","21753","EDIFICI CARRER PRIM -  PLAÇA PEARSON","Grup d'interès","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/02/01","PABLO NAVARRO CANO","REGIDOR ECP","Reunió amb Amical Ravensbruck",,,,,"Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/02/02","YOLANDA FERRER POLO","REGIDORA PSC","Acció social de BASF a Rubí",,,,,"Grup d'interès","Reunió","1","1.50","818460009","Ajuntament de Rubí"
