id,id_area,"AREA","SERVEI",id_carta,"CARTA","EXERCICI",ORDRE,"COMPROMISOS","OBJECTIUS_ANUALS","INDICADORS","UNITAT_COMPROMIS",COMPROMIS_ANUAL,RES_1R,RES_2R,RES_3R,RES_4R,RES_UNIC,GRAU_ACOMPLIMENT,PERCENTATGE,"CODI_ENS","NOM_ENS",id_compromis
"1","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2022","1","1.Celebració d'actes institucionals","Assolir el 100% d\'actes periòdics","Nombre d'actes protocol·laris realitzats","Actes","75.0","22.0","24.0","17.0","12.0","0.0","75.0","100.0","818460009","Ajuntament de Rubí","1"
"2","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2022","2","2.-Celebració de cerimònies civils","Celebrar el 100% de sol·licituds de cerimònia civil","Nombre de cerimònies civils oficiades","Cerimònies","31.0","4.0","13.0","11.0","3.0","0.0","31.0","100.0","818460009","Ajuntament de Rubí","2"
"3","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2022","3","3.-Publicar l'agenda institucional de l'Alcaldia","Mantenir la informació actualitzada a l\'agenda institucional de l\'Alcaldia","Nombre de cites d'agenda publicades","Cites","89.0","19.0","21.0","20.0","29.0","0.0","89.0","100.0","818460009","Ajuntament de Rubí","3"
"128","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2023","1","1.Celebració d'actes institucionals","Assolir el 100% d\'actes periòdics","Nombre d'actes protocol·laris realitzats","Actes","75.0","8.0","9.0","7.0","14.0","0.0","38.0","50.0","818460009","Ajuntament de Rubí","1"
"129","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2023","2","2.-Celebració de cerimònies civils","Celebrar el 100% de sol·licituds de cerimònia civil","Nombre de cerimònies civils oficiades","Cerimònies","31.0","2.0","11.0","12.0","9.0","0.0","34.0","100.0","818460009","Ajuntament de Rubí","2"
"130","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2023","3","3.-Publicar l'agenda institucional de l'Alcaldia","Mantenir la informació actualitzada a l\'agenda institucional de l\'Alcaldia","Nombre de cites d'agenda publicades","Cites","89.0","87.0","60.0","0.0","3.0","0.0","150.0","100.0","818460009","Ajuntament de Rubí","3"
"261","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2024","1","1.Celebració d'actes institucionals","Assolir el 100% d\'actes periòdics","Nombre d'actes protocol·laris realitzats","Actes","37.0","11.0","8.0","13.0","5.0","0.0","37.0","100.0","818460009","Ajuntament de Rubí","1"
"262","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2024","2","2.-Celebració de cerimònies civils","Celebrar el 100% de sol·licituds de cerimònia civil","Nombre de cerimònies civils oficiades","Cerimònies","64.0","5.0","26.0","22.0","11.0","0.0","64.0","100.0","818460009","Ajuntament de Rubí","2"
"263","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2024","3","3.-Publicar l'agenda institucional de l'Alcaldia","Mantenir la informació actualitzada a l\'agenda institucional de l\'Alcaldia","Nombre de cites d'agenda publicades","Cites","228.0","72.0","40.0","48.0","68.0","0.0","228.0","100.0","818460009","Ajuntament de Rubí","3"
"457","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2025","1","1.Celebració d'actes institucionals","Assolir el 100% d\'actes periòdics","Nombre d'actes protocol·laris realitzats","Actes","30.0","13.0","12.0","5.0","0.0","0.0","30.0","100.0","818460009","Ajuntament de Rubí","1"
"458","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2025","2","2.-Celebració de cerimònies civils","Celebrar el 100% de sol·licituds de cerimònia civil","Nombre de cerimònies civils oficiades","Cerimònies","59.0","6.0","23.0","30.0","0.0","0.0","59.0","100.0","818460009","Ajuntament de Rubí","2"
"459","1","Alcaldia","U007 - GABINET D'ALCALDIA I PROTOCOL","1","ALCALDIA I PROTOCOL","2025","3","3.-Publicar l'agenda institucional de l'Alcaldia","Mantenir la informació actualitzada a l\'agenda institucional de l\'Alcaldia","Nombre de cites d'agenda publicades","Cites","166.0","73.0","63.0","30.0","0.0","0.0","166.0","100.0","818460009","Ajuntament de Rubí","3"
