"NOM_CONVOCATORIA","ANY_CONVOCATORIA","DATA_CONVOCATORIA","DISTRICTE","SECCIO","MESA","COL_LEGI","EDAT_CENS_INE","CODI_INTERVAL_EDAD_INE","INTERVAL_EDAD_INE","CONTINENT_NAIXEMENT","CODI_SEXE","SEXE",CODI_ESTUDIS,"ESTUDIS_DESC",DADES,"CODI_ENS","NOM_ENS"
"Eleccions Municipals 2023","2023","2023/05/28","4","21","A","ESCOLA BRESSOL-LLUNA","87","10","86-Més Anys","Unió Europea","M","Dona","2","Primària incompleta","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","4","26","C","ESCOLA TERESA ALTET","46","4","46-55 Anys","Unió Europea","V","Home","2","Primària incompleta","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","3","5","A","ESCOLA VINT-I-CINC DE SETEMBRE","74","6","66-75 Anys","Unió Europea","M","Dona","2","Primària incompleta","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","1","1","B","ESCOLA RAMON LLULL","61","5","56-65 Anys","Unió Europea","M","Dona","3","Primària completa","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","1","3","A","ESCOLA RAMON LLULL","59","5","56-65 Anys","Unió Europea","V","Home","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","3","9","A","ESCOLA CA N'ALZAMORA","59","5","56-65 Anys","Unió Europea","V","Home","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","3","3","A","ESCOLA MARIA MONTESSORI","59","5","56-65 Anys","Unió Europea","M","Dona","3","Primària completa","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","3","1","A","ESCOLA TORRE DE LA LLEBRE","59","5","56-65 Anys","Unió Europea","M","Dona","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","2","1","B","EDIFICI RESSÒ","59","5","56-65 Anys","Unió Europea","V","Home","3","Primària completa","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","4","10","C","ESCOLA MOSSEN CINTO VERDAGUER","58","5","56-65 Anys","Unió Europea","V","Home","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","4","20","B","CENTRE CIVIC CA N'ORIOL","59","5","56-65 Anys","Unió Europea","V","Home","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
"Eleccions Municipals 2023","2023","2023/05/28","4","8","A","INSTITUT LA SERRETA","58","5","56-65 Anys","Unió Europea","V","Home","4","Superior a primària","2026/08/17 02:44:10.000000000","818460009","Ajuntament de Rubí"
