"CODI_LLOC_DE_TREBALL","LLOC_DE_TREBALL","UNITAT_ORGANICA","GRUP","NIVELL_DE_DESTI",PUNTUACIO_COMPLEMENT_ESPECIFIC,"ESCALA","SUBESCALA","CLASSE","CATEGORIA","TIPUS_DE_JORNADA","FORMA_DE_PROVISIO","SITUACIO_DEL_LLOC","CODI_ENS","NOM_ENS"
"33950",,,"C1","14",,,,,,,,"Vacant","818460009","Ajuntament de Rubí"
"33951",,,,,,,,,,,,"Vacant","818460009","Ajuntament de Rubí"
"1105","ARQUITECTE/A","SERVEI D'OBRA PÚBLICA","A1","22","34",,,,,"Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1073","ENGINYER OBRA PÚBLICA","SERVEI D'OBRA PÚBLICA","A2","20","38",,,,,"Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"31811","TÈCNIC SUPERIOR","SERVEI DE SOSTENIBILITAT I MEDI","A1","20","33",,,,,"Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"31812","TÈCNIC SUPERIOR","SERVEI DE SOSTENIBILITAT I MEDI","A1","20","33",,,,,"Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"1234","ENGINYER TÈCNIC","UNITAT DE CICLE DE L'AIGUA","A2","20","38",,,,,"Jornada habitual","Concurs","Vacant","818460009","Ajuntament de Rubí"
"9023","GERENT/A","GERENCIA","A","00",,"DIRECTIU PROFESSIONAL",,,,"Jornada habitual","Lliure designació","Ocupat","818460009","Ajuntament de Rubí"
"9031","DIRECTOR/A RÀDIO","U066 - RÂDIO RUBÍ SERVEIS AUDIOVISUALS","A","00",,"DIRECTIU PROFESSIONAL",,,,"Jornada habitual","Lliure designació","Ocupat","818460009","Ajuntament de Rubí"
"9024","DIRECTOR/A D'ÀREA","ÀREA D'ESTRATÈGIA URBANA, INNOVACIÓ I COMUNICACIÓ","A","00",,"DIRECTIU PROFESSIONAL",,,,"Jornada habitual","Lliure designació","Vacant","818460009","Ajuntament de Rubí"
