ID,"DATA_SOL_LICITUD",ANY_SOL_LICITUD,MES_SOL_LICITUD,CODI_TIPUS_SOL_LICITUD,"TIPUS_SOL_LICITUD","CODI_ENS","NOM_ENS"
"1","11/01/2023","2023.0","1.0","39031","Formulari de petició de dades estadístiques","818460009","Ajuntament de Rubí"
"2","10/01/2023","2023.0","1.0","38295","Formulari de consulta sobre temes de consum","818460009","Ajuntament de Rubí"
"3","07/01/2023","2023.0","1.0","38295","Formulari de consulta sobre temes de consum","818460009","Ajuntament de Rubí"
"4","12/12/2022","2022.0","12.0","38295","Formulari de consulta sobre temes de consum","818460009","Ajuntament de Rubí"
"5","02/12/2022","2022.0","12.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"6","28/11/2022","2022.0","11.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"7","23/11/2022","2022.0","11.0","39031","Formulari de petició de dades estadístiques","818460009","Ajuntament de Rubí"
"8","19/11/2022","2022.0","11.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"9","10/11/2022","2022.0","11.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"10","05/11/2022","2022.0","11.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"11","28/10/2022","2022.0","10.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"12","05/10/2022","2022.0","10.0","39031","Formulari de petició de dades estadístiques","818460009","Ajuntament de Rubí"
"13","30/09/2022","2022.0","9.0","38085","Formulari Sindicatura de Greuges","818460009","Ajuntament de Rubí"
"14","28/09/2022","2022.0","9.0","38083","Avisos, queixes i suggeriments","818460009","Ajuntament de Rubí"
"15","28/09/2022","2022.0","9.0","38083","Avisos, queixes i suggeriments","818460009","Ajuntament de Rubí"
"16","27/09/2022","2022.0","9.0","38083","Avisos, queixes i suggeriments","818460009","Ajuntament de Rubí"
"17","27/09/2022","2022.0","9.0","39289","Sol·licitud d'anàlisis aigua aixeta","818460009","Ajuntament de Rubí"
"18","27/09/2022","2022.0","9.0","38083","Avisos, queixes i suggeriments","818460009","Ajuntament de Rubí"
"19","27/09/2022","2022.0","9.0","38083","Avisos, queixes i suggeriments","818460009","Ajuntament de Rubí"
