"DATA_MATRICULA","SITUACIO_ACTUAL","MARCA",KM_ACTUALS,"TIPUS","ADSCRIPCIO","TITULARITAT",id,"CODI_ENS","NOM_ENS"
"06/11/2025","OPERATIU","NISSAN X-TRAIL","0","Turismo","U052 - SERVEI DE SOSTENIBILITAT I MEDI","Renting","177","818460009","Ajuntament de Rubí"
"29/10/2025","OPERATIU","CITROEN C4 electric","0","Turismo","U078 - SERVEI DE RELACIONS CIUTADANES","Renting","174","818460009","Ajuntament de Rubí"
"29/10/2025","OPERATIU","CITROEN C4 electric","0","Turismo","U076 - ÀREA DE SOSTENIBILITAT I SERVEIS MUNICIPALS","Renting","176","818460009","Ajuntament de Rubí"
"29/10/2025","OPERATIU","CITROEN C4 electric","0","Turismo","U078 - SERVEI DE RELACIONS CIUTADANES","Renting","173","818460009","Ajuntament de Rubí"
"29/10/2025","OPERATIU","CITROEN C4 electric","0","Turismo","U076 - ÀREA DE SOSTENIBILITAT I SERVEIS MUNICIPALS","Renting","175","818460009","Ajuntament de Rubí"
"22/05/2025","OPERATIU","KIA NIRO","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","171","818460009","Ajuntament de Rubí"
"29/10/2024","OPERATIU","CITROEN e-C4 elèctrico","0","Turismo","U071 - ÀREA D'IGUALTAT I CIUTADANIA","Renting","168","818460009","Ajuntament de Rubí"
"29/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U044 - SERVEI DE LLICÈNCIES I DISCIPLINA D'OBRES","Renting","167","818460009","Ajuntament de Rubí"
"29/10/2024","OPERATIU","CITROEN e-C4 elécrico","0","Turismo","U044 - SERVEI DE LLICÈNCIES I DISCIPLINA D'OBRES","Renting","169","818460009","Ajuntament de Rubí"
"29/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U076 - ÀREA DE SOSTENIBILITAT I SERVEIS MUNICIPALS","Renting","166","818460009","Ajuntament de Rubí"
"25/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U072 - ÀREA D'ESTRATÈGIA URBANA, INNOVACIÓ I COMUNICACIÓ","Renting","163","818460009","Ajuntament de Rubí"
"25/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U018 - SERVEI D'INNOVACIÓ, SMARTCITY I SISTEMES D'INFORMACIÓ","Renting","170","818460009","Ajuntament de Rubí"
"25/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U047 - UNITAT DE PARCS I JARDINS","Renting","165","818460009","Ajuntament de Rubí"
"25/10/2024","OPERATIU","CITROEN e-C4 eléctrico","0","Turismo","U044 - SERVEI DE LLICÈNCIES I DISCIPLINA D'OBRES","Renting","164","818460009","Ajuntament de Rubí"
"14/03/2024","OPERATIU","SYM CRUISYM 300 E5 TCS","1761","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","162","818460009","Ajuntament de Rubí"
"14/03/2024","OPERATIU","SYM CRUISYM 300 E5 TCS","2123","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","161","818460009","Ajuntament de Rubí"
"03/10/2023","OPERATIU","RENAULT KANGOO VAN E-TECH ELECTRIC","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U047 - UNITAT DE PARCS I JARDINS","Renting","160","818460009","Ajuntament de Rubí"
"14/09/2023","OPERATIU","RENAULT KANGOO VAN E-TECH ELECTRIC","43","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U050 - SERVEI DE MOBILITAT I ACCESSIBILITAT","Renting","157","818460009","Ajuntament de Rubí"
"14/09/2023","OPERATIU","RENAULT KANGOO VAN E-TECH ELECTRIC","18","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U047 - UNITAT DE PARCS I JARDINS","Renting","159","818460009","Ajuntament de Rubí"
"14/09/2023","OPERATIU","RENAULT KANGOO VAN E-TECH ELECTRIC","12","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U047 - UNITAT DE PARCS I JARDINS","Renting","158","818460009","Ajuntament de Rubí"
"17/02/2023","OPERATIU","HONDA NSS350A","5922","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","156","818460009","Ajuntament de Rubí"
"25/04/2022","OPERATIU","FORD TRANSIT","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Renting","146","818460009","Ajuntament de Rubí"
"30/12/2021","OPERATIU","NISSAN NISSAN e-NV200","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U079 - UNITAT RUBÍ BRILLA","Renting","142","818460009","Ajuntament de Rubí"
"30/12/2021","OPERATIU","NISSAN NISSAN e-NV200","16803","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Renting","141","818460009","Ajuntament de Rubí"
"30/12/2021","OPERATIU","NISSAN NISSAN e-NV200","18609","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Renting","140","818460009","Ajuntament de Rubí"
"30/12/2021","OPERATIU","RENAULT KANGOO EXPRESS Z.E.","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U040 - SERVEI D'ESPORTS","Renting","147","818460009","Ajuntament de Rubí"
"29/12/2021","OPERATIU","NISSAN NISSAN e-NV200","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Renting","144","818460009","Ajuntament de Rubí"
"29/12/2021","OPERATIU","NISSAN NISSAN e-NV200","11908","Furgón/Furgoneta < = 3.500 Kg","U049 - UNITAT DE BRIGADA D'OBRES","Renting","139","818460009","Ajuntament de Rubí"
"29/12/2021","OPERATIU","NISSAN NISSAN e-NV200","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Renting","143","818460009","Ajuntament de Rubí"
"29/12/2021","OPERATIU","NISSAN NISSAN e-NV200","0","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Renting","145","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT ATECA","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","152","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT ATECA","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","154","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT ATECA","30658","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","151","818460009","Ajuntament de Rubí"
"22/12/2021","OPERATIU","SEAT  ATECA","122760","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","153","818460009","Ajuntament de Rubí"
"03/12/2021","OPERATIU","NISSAN  NAVARA","0","Turismo Todo Terreno","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","172","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","129","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","128","818460009","Ajuntament de Rubí"
"15/10/2021","OPERATIU","TOYOTA PRIUS PLUS","0","Turismo","U051 - SERVEI DE SEGURETAT CIUTADANA","Renting","130","818460009","Ajuntament de Rubí"
"06/10/2021","OPERATIU","NIU NGT","0","Motocicleta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","127","818460009","Ajuntament de Rubí"
"28/09/2021","OPERATIU","ISUZU / CAYVOL  SERIE BLUE","16343","Camión MMA < = 3.500 kg / Caja abierta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","126","818460009","Ajuntament de Rubí"
"10/05/2019","OPERATIU","NISSAN SCATTOLINI NISSAN NT400","40536","Camión MMA < = 3.500 kg / Caja abierta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","111","818460009","Ajuntament de Rubí"
"12/03/2018","OPERATIU","KYMCO GRAND DINK 300","6784","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","80","818460009","Ajuntament de Rubí"
"12/03/2018","OPERATIU","KYMCO GRAND DINK 300","6800","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","79","818460009","Ajuntament de Rubí"
"30/03/2017","OPERATIU","HONDA NS300","15420","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","17","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","108","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","110","818460009","Ajuntament de Rubí"
"02/01/2017","OPERATIU","CRM CRMES-3000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","109","818460009","Ajuntament de Rubí"
"22/06/2016","OPERATIU","YAMAHA DM04","8488","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","32","818460009","Ajuntament de Rubí"
"01/01/2016","OPERATIU","HONDA NS300","13640","Motocicleta","U051 - SERVEI DE SEGURETAT CIUTADANA","Propietat","9","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","102","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","104","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","101","818460009","Ajuntament de Rubí"
"09/11/2015","OPERATIU","CRM CRMES-2000VF","1","Remolque y semirremolque 750 kg < MMA < = 3.500 Kg / Vehículo para ferias","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","103","818460009","Ajuntament de Rubí"
"21/09/2015","OPERATIU","NISSAN NV200","33949","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","58","818460009","Ajuntament de Rubí"
"21/09/2015","OPERATIU","NISSAN NV200","49000","Furgón/Furgoneta < = 3.500 Kg / Caja cerrada","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","60","818460009","Ajuntament de Rubí"
