ANY,DATA,"DIA_SETMANA","TORN","HORA","OFICINA","CUA",CITA_PREVIA,"CANAL_CITA_PREVIA",TEMPS_ESPERA,TEMPS_ATENCIO,N_TRAMITS_X_VISITA,"CODI_ENS","NOM_ENS"
"2020","2020/01/02","Dijous","Matí","08","OAC","Tràmits","0","Canal de la cita desconegut","14","680","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Tràmits","0","Canal de la cita desconegut","13","45","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Tràmits","0","Canal de la cita desconegut","9","613","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Tràmits","0","Canal de la cita desconegut","31","2740","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Padró d'Habitants","0","Canal de la cita desconegut","12","854","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Padró d'Habitants","0","Canal de la cita desconegut","10","135","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","08","OAC","Justificants padró","0","Canal de la cita desconegut","8","79","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","9","1569","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","12","619","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","18","598","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","145","127","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","314","1061","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Tràmits","0","Canal de la cita desconegut","107","276","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","88","112","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","83","583","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","6","56","13","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","6","726","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","164","837","3","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","12","753","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","390","1050","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","353","22","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Padró d'Habitants","0","Canal de la cita desconegut","104","780","11","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Justificants padró","0","Canal de la cita desconegut","10","82","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Justificants padró","0","Canal de la cita desconegut","9","122","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","09","OAC","Justificants padró","0","Canal de la cita desconegut","8","147","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","7","211","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","150","115","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","15","261","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","16","33","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","38","560","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","149","609","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","47","329","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Tràmits","0","Canal de la cita desconegut","10","579","3","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Carnets Autobús","0","Canal de la cita desconegut","11","627","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Carnets Autobús","0","Canal de la cita desconegut","123","377","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Carnets Autobús","0","Canal de la cita desconegut","232","229","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","33","59","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","15","95","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","11","702","3","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","12","248","3","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","7","650","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","9","74","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","12","166","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","40","238","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","235","184","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","188","168","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","63","562","3","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","47","134","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","9","638","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","11","482","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","16","206","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","65","386","2","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","8","210","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Padró d'Habitants","0","Canal de la cita desconegut","13","117","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Justificants padró","0","Canal de la cita desconegut","12","131","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OAC","Justificants padró","0","Canal de la cita desconegut","11","82","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OMIC","Oficina de Consum","0","Canal de la cita desconegut","19","1117","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OMIC","Oficina de Consum","0","Canal de la cita desconegut","338","730","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OMIC","Oficina de Consum","0","Canal de la cita desconegut","1055","1756","1","818460009","Ajuntament de Rubí"
"2020","2020/01/02","Dijous","Matí","10","OMIC","Oficina de Consum","0","Canal de la cita desconegut","1120","1019","1","818460009","Ajuntament de Rubí"
