"REGISTRE","ESTAT","DATA_REGISTRE","DATA_BAIXA","TIPUS_IDENTIFICACIO","ESPECIE","SEXE","MIDA",DATA_NAIXEMENT,"RACA","PERILLOS","GOS_ASSITENCIA","CODI_ENS","NOM_ENS"
"R000957599","Vigent","2022-05-24",,"XIP","Gos","Femella","Mitjà","2021/06/01 00:00:00.000000000","Griffon Nivernais","No","No","818460009","Ajuntament de Rubí"
"R000957298","Vigent","2022-05-23",,"XIP","Gat","Mascle","Mitjà","2021/06/28 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000957301","Vigent","2022-05-23",,"XIP","Gos","Mascle","Gran",,"indefinit","No","No","818460009","Ajuntament de Rubí"
"R000957292","Vigent","2022-05-23",,"XIP","Gat","Femella",,,"europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000956805","Vigent","2022-05-19",,"XIP","Gat","Femella",,,,"No","No","818460009","Ajuntament de Rubí"
"R000956622","Vigent","2022-05-18",,"XIP","Gos","Femella","Mitjà","2023/02/19 00:00:00.000000000","bulldog francès","No","No","818460009","Ajuntament de Rubí"
"R000957290","Vigent","2022-05-23",,"XIP","Gos","Femella",,"2021/05/07 00:00:00.000000000","llebrer espanyol/galgo","No","No","818460009","Ajuntament de Rubí"
"R000955463","Vigent","2022-05-13",,"XIP","Gat","Femella","Mitjà",,"europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000955781","Vigent","2022-05-16",,"XIP","Gos","Femella",,"2021/10/25 00:00:00.000000000","american bully","Si","No","818460009","Ajuntament de Rubí"
"R000955775","Vigent","2022-05-16",,"XIP","Gos","Femella",,"2015/04/27 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000955461","Vigent","2022-05-13",,"XIP","Gat","Femella","Mitjà",,"europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000955194","Vigent","2022-05-13",,"XIP","Gat","Femella","Petit","2018/11/18 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000955947","Vigent","2022-05-16",,"XIP","Gos","Femella",,,"llebrer espanyol/galgo","No","No","818460009","Ajuntament de Rubí"
"R000955762","Vigent","2022-05-16",,"XIP","Gos","Femella",,"2000/02/27 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000955717","Vigent","2022-05-16",,"XIP","Gos","Femella",,"2017/08/10 00:00:00.000000000","pit bull terrier","Si","No","818460009","Ajuntament de Rubí"
"R000955713","Vigent","2022-05-16",,"XIP","Gos","Femella",,,"indefinit","No","No","818460009","Ajuntament de Rubí"
"R000955708","Vigent","2022-05-16",,"XIP","Gos","Mascle",,"2021/07/15 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000953858","Vigent","2022-05-06",,"XIP","Gat","Mascle","Gran","2021/10/28 00:00:00.000000000","maine coon","No","No","818460009","Ajuntament de Rubí"
"R000955698","Vigent","2022-05-16",,"XIP","Gos","Femella","Gran","2020/10/03 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000955692","Vigent","2022-05-16",,"XIP","Gos","Femella",,"2018/02/01 00:00:00.000000000","pastor alemany","No","No","818460009","Ajuntament de Rubí"
"R000955695","Vigent","2022-05-16",,"XIP","Gos","Mascle",,"2022/01/18 00:00:00.000000000","border collie","No","No","818460009","Ajuntament de Rubí"
"R000955690","Vigent","2022-05-16",,"XIP","Gos","Femella",,,"chihuahua","No","No","818460009","Ajuntament de Rubí"
"R000953001","Vigent","2022-05-04",,"XIP","Gos","Mascle",,"2021/12/20 00:00:00.000000000","caniche","No","No","818460009","Ajuntament de Rubí"
"R000952877","Vigent","2022-05-03",,"XIP","Gos","Femella",,"2017/05/01 00:00:00.000000000",,"Si","No","818460009","Ajuntament de Rubí"
"R000954543","Vigent","2022-05-10",,"XIP","Gat","Mascle","Mitjà","2019/10/21 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000952217","Vigent","2022-04-30",,"XIP","Gat","Femella","Mitjà","2021/05/05 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000951189","Vigent","2022-04-27",,"XIP","Gos","Mascle","Gran","2021/11/17 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000952874","Vigent","2022-05-03",,"XIP","Gos","Mascle",,"2012/04/10 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000952873","Vigent","2022-05-03",,"XIP","Gos","Mascle","Gran","2010/12/15 00:00:00.000000000","golden retriever","No","No","818460009","Ajuntament de Rubí"
"R000950986","Vigent","2022-04-27",,"XIP","Gat","Mascle","Mitjà","2022/01/06 00:00:00.000000000","scottish fold","No","No","818460009","Ajuntament de Rubí"
"R000950623","Vigent","2022-04-26",,"XIP","Gat","Mascle","Petit","2020/08/01 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000950268","Vigent","2022-04-25",,"XIP","Gat","Femella","Petit","2021/10/08 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000952870","Vigent","2022-05-03",,"XIP","Gos","Mascle",,"2014/12/10 00:00:00.000000000","malamut d'Alaska","No","No","818460009","Ajuntament de Rubí"
"R000950149","Vigent","2022-04-23",,"XIP","Gos","Femella","Mitjà","2020/08/06 00:00:00.000000000","american bully","Si","No","818460009","Ajuntament de Rubí"
"R000950117","Vigent","2022-04-22",,"XIP","Gat","Femella",,"2021/08/16 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000952869","Vigent","2022-05-03",,"XIP","Gos","Mascle",,"2021/03/25 00:00:00.000000000","schnauzer miniatura","No","No","818460009","Ajuntament de Rubí"
"R000952863","Vigent","2022-05-03",,"XIP","Gos","Femella",,"2021/04/15 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000952861","Vigent","2022-05-03",,"XIP","Gat","Mascle",,"2018/09/20 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000952237","Vigent","2022-05-02",,"XIP","Gos","Mascle",,"2019/09/24 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000948989","Vigent","2022-04-19",,"XIP","Gos","Mascle",,"2022/04/19 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000949250","Vigent","2022-04-20",,"XIP","Gos","Mascle",,"2021/06/05 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000949257","Vigent","2022-04-20",,"XIP","Gos","Femella",,,"yorkshire biewer","No","No","818460009","Ajuntament de Rubí"
"R000948324","Vigent","2022-04-11",,"XIP","Gos","Mascle",,"2022/04/11 00:00:00.000000000","Staffordshire Bull Terrier","Si","No","818460009","Ajuntament de Rubí"
"R000949206","Vigent","2022-04-20",,"XIP","Gos","Mascle",,"2018/03/03 00:00:00.000000000",,"Si","No","818460009","Ajuntament de Rubí"
"R000949216","Vigent","2022-04-20",,"XIP","Gat","Mascle",,"2021/02/20 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
"R000949212","Vigent","2022-04-20",,"XIP","Gos","Femella",,"2016/04/09 00:00:00.000000000","terrier Staffordshire americà","Si","No","818460009","Ajuntament de Rubí"
"R000947651","Vigent","2022-04-07",,"XIP","Gos","Femella","Petit","2022/01/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
