DATA,"ALT_CARREC","CARREC","TEMA","GRUP_INTERES","ESTAT_REGISTRE","NUMERO_REGISTRE","LLOC","TIPUS_ACTIVITAT","ACTIVITAT",PARTICIPANTS,HORES_ALT_CARREC,"CODI_ENS","NOM_ENS"
"2021/01/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de Govern local",,,,,"Activitat institucional","Reunió","12","0.50","818460009","Ajuntament de Rubí"
"2021/01/14","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reunió amb direcció Escola Balmes",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","2","1.00","818460009","Ajuntament de Rubí"
"2021/01/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Plantada de bandera 162a Festa gran d'hivern",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2021/01/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta ordinària de portaveus",,,,,"Activitat institucional","Reunió","8","1.50","818460009","Ajuntament de Rubí"
"2021/01/21","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Projecte ImPACTE Jove/Verd",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","1.50","818460009","Ajuntament de Rubí"
"2021/01/28","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Ple Municipal",,,,,"Activitat institucional","Reunió","27","3.00","818460009","Ajuntament de Rubí"
"2021/02/05","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Benvinguda xerrada als instituts FP Dual",,,,,"Activitat institucional","Acte","2","0.50","818460009","Ajuntament de Rubí"
"2021/02/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","34 edició del concurs de màscares de Carnaval (Escola edRa)",,,,"C.C. ESCARDÍVOL","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
"2021/02/19","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Benvinguda a les dones incorporades als Plans d'Ocupació",,,,"RUBÍ FORMA","Activitat institucional","Acte","4","0.50","818460009","Ajuntament de Rubí"
"2021/02/22","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentació del llibre commemoratiu dels 60 anys del Museu Etnogràfic Vallhonrat i lliurament premis concurs de dibuix",,,,"MUSEU ETNOGRÀFIC VALLHONRAT","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
