"ID","DATA_ACCIDENT",ANY_ACCIDENT,MES_ACCIDENT,"DIA_SETMANA_ACCIDENT","HORA_ACCIDENT","TIPUS_ACCIDENT",N_IMPLICATS,"ZONA","CODI_ENS","NOM_ENS","TRAM_HORARI",LATITUD,LONGITUD,"PUNT_ACCIDENT"
"1/2015","2015-01-02","2015","1","Divendres","22:30:00","Fregament negatiu (mateix sentit)","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"3/2015","2015-01-02","2015","1","Divendres","23:15:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"2/2015","2015-01-03","2015","1","Dissabte","13:10:00","Envestida","2","Sector Z","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"4/2015","2015-01-03","2015","1","Dissabte","18:00:00","Encalç","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"5/2015","2015-01-03","2015","1","Dissabte","23:45:00","Envestida","2","Centre","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"6/2015","2015-01-04","2015","1","Diumenge","02:50:00","Fregament negatiu (mateix sentit)","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"7/2015","2015-01-06","2015","1","Dimarts","21:30:00","Sortida de via amb caiguda, bolcada, xoc","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"8/2015","2015-01-08","2015","1","Dijous","15:00:00","Atropellament","2","Plana de Can Bertran","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"9/2015","2015-01-09","2015","1","Divendres","15:50:00","Simple","2","El Mercat","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"10/2015","2015-01-09","2015","1","Divendres","17:00:00","Xoc sense sortida de via","1","Can Fatjó","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"11/2015","2015-01-10","2015","1","Dissabte","20:40:00","Envestida","2","Can Rosés","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"12/2015","2015-01-11","2015","1","Diumenge","16:00:00","Envestida","2","Can Rosés","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"13/2015","2015-01-13","2015","1","Dimarts","00:05:00","Xoc sense sortida de via","4","El Mercat","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"14/2015","2015-01-14","2015","1","Dimecres","05:50:00","Xoc sense sortida de via","2","Zona Desconeguda","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"15/2015","2015-01-15","2015","1","Dijous","09:30:00","Encalç","2","Can Fatjó","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"32/2015","2015-01-16","2015","1","Divendres","15:30:00","Xoc sense sortida de via","1","Centre","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"16/2015","2015-01-18","2015","1","Diumenge","03:15:00","Xoc sense sortida de via","1","Zona Desconeguda","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
"17/2015","2015-01-18","2015","1","Diumenge","20:19:00","Xoc sense sortida de via","2","Ca n'Oriol","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"20/2015","2015-01-19","2015","1","Dilluns","13:25:00","Fregament positiu (diferent sentit)","3","Ca n'Alzamora","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"18/2015","2015-01-19","2015","1","Dilluns","15:30:00","Xoc sense sortida de via","2","Sector Z","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"19/2015","2015-01-19","2015","1","Dilluns","17:20:00","Atropellament","2","El Progrés - Rubí 2000","818460009","Ajuntament de Rubí","Tarda (14 a 22)",,,
"21/2015","2015-01-21","2015","1","Dimecres","13:00:00","Xoc sense sortida de via","2","El Mercat","818460009","Ajuntament de Rubí","Matí (06 a 14)",,,
"22/2015","2015-01-22","2015","1","Dijous","05:45:00","Xoc sense sortida de via","2","Can Rosés","818460009","Ajuntament de Rubí","Nit (22 a 06)",,,
