REC,"CIF","NOM","ADRECA","CODI_POSTAL","POBLACIO","DISTRICTE",LONGITUD,LATITUD,"TELEFON","E_MAIL","WEB","TIPUS_ENTITAT","REGISTRE_OFICIAL",DATA_FUNDACIO,"CODI_ENS","NOM_ENS"
"1","G59527903","C.E. Olímpic Can Fatjó","C. Segarra, 12","08191","Rubí","1","2.0244879286","41.4846147505","695199767","olimpiccanfatjo@olimpiccanfatjo.es",,"Entitats esportives","Registre d'Entitats Esportives",,"818460009","Ajuntament de Rubí"
"2","G60867025","Associació d'Escacs Rubinenca","C. Joaquim Blume, 28","08191","Rubí","4","2.0296803852","41.4942513907","607216777","escacsrubi@gmail.com","www.escacsrubi.com/","Entitats esportives","Registre d'Entitats Esportives",,"818460009","Ajuntament de Rubí"
"4","G58203183","Esbart Dansaire de Rubí","Passeig de les Torres, 37","08191","Rubí","3","2.0330000084","41.4818484299","658160494","esbartderubi@esbartderubi.cat","https://esbartderubi.cat/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"5","G59370007","Associació de Vecinos 25 de Septiembre","Grup vint-i-cinc de Setembre, local 13","08191","Rubí","3","2.0388302795","41.4844812969","669773705","aavv25desetembre@gmail.com","https://www.rubi.cat/es/guia/guia/asociaciones/aavv/av-25-de-septiembre","Associació","Registre d'associacions (Generalitat)","1978-04-22T01:00:00.000+02:00","818460009","Ajuntament de Rubí"
"6","G58190109","Club Natació Rubí","Av. Olimpiades, s/n","08191","Rubí","5","2.0458016599","41.5032671403","936064097","cnr@cnrubi.cat; f.mateo@cnrubi.cat","www.cnrubi.cat","Altres",,"1971-11-18T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"7","G58061011","Irmandade Galega de Rubí","c. Monturiol, 18 baixos","08191","Rubí",,,,"678350282","Irmandadegalegarubi@gmail.com","www.irmandaderubi.galiciaaberta.com","Associació","Registre d'associacions (Generalitat)","1981-10-02T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"9","G58781303","AFA Col·legi Maristes","C. Magallanes, 65","08191","Rubí","6","2.0366568767","41.4903497386","662.013.003","ampamaristesrubi@gmail.com","ampamaristesrubi.blogspot.com/","Associació","Registre d'associacions (Generalitat)","1987-12-12T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"10","V59521765","Centre d'Estudis i protecció de la natura (CEPNA)","Travessía de Trafalgar, 15","08191","Rubí",,,,"936974691","rafel.bosch.janer@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1989-03-04T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"11","G59582007","Associació de Veïns de la Barriada de Ca n'Oriol (Rubí)","C. Soria, 1","08191","Rubí","5","2.0415068195","41.4967433913","687111644","avcanoriol@gmail.com; javieraaron.fernandez@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1977-04-15T01:00:00.000+02:00","818460009","Ajuntament de Rubí"
"12","G59511048","Associación de Vecinos Las Torres-Rubí 2000","c. Joan Puig, 47 Edifici Jamaica","08191","Rubí",,,,"935885005","avlestorres2000@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1984-02-03T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"13","G59119297","Asociación de Vecinos El Pinar","El Pinar, bloque 2 esc. B baixos 3a","08191","Rubí",,,,"626223887","mjose@lineaimage.com; aavvelpinar@outlook.es",,"Associació","Registre d'associacions (Generalitat)","1972-10-10T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"15","G59349910","Associació de Veïns de Can Vallhonrat","c. Federico Chueca, 25","08191","Rubí",,,,"675910063","avvallhonrat@gmail.com; mpuriop@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"16","G58640731","Centre d'Esplai l'Eixam","c. Molí, 21","08191","Rubí",,,,"671857774","ceeixam@gmail.com","https://esplaieixam.wordpress.com/","Associació","Registre d'associacions (Generalitat)","1972-05-11T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"17","G60423308","C.E.B. Sant Jordi de Rubí","C. Pintor Coello, 5","08191","Rubí","4","2.0332701507","41.4887079003","93 588 65 69","cebsantjordi@cebsantjordi.cat","www.cebsantjordi.cat","Entitats esportives","Registre d'Entitats Esportives",,"818460009","Ajuntament de Rubí"
"19","G62129119","Associació Gent Gran de Rubí","C. Magallanes, 60","08191","Rubí","6","2.0355199543","41.4898761941","935884487","casalgentgranrubi@hotmail.com","www.casalgentgranrubi.cat","Associació","Registre d'associacions (Generalitat)","1977-02-14T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"20","V59078352","Centre d'Estudis Rubinencs","C. Aribau, 5","08191","Rubí","6","2.0364862489","41.4928589109","600793022","gcmr.cer@gmail.com","historiaygrupomuseorubi.blogspot.com/","Associació","Registre d'associacions (Generalitat)","1988-12-01T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"21","G59499996","Coral Unió Rubinenca","c. Sant Sebastià, 33","08191","Rubí",,,,"630760898","massmarti@gmail.com","culturapopulartradicionalcatalanarubi.blogspot.com/.../entitats-agr...","Associació","Registre d'associacions (Generalitat)","1985-09-13T00:00:00.000+02:00","818460009","Ajuntament de Rubí"
"22","G58280009","Escola de Sardanes Flor de Neu","c. Sant Miquel, 31 baixos","08191","Rubí",,,,"617480966","flordeneu.rubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1985-11-27T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"23","G58221086","AFA de l'escola Torre de la Llebre","Av. dels Massana, 5","08191","Rubí","3","2.0336651569","41.4771446061","657906722","afatorredelallebre@gmail.com","https://ampatorrellebre.com/","Associació","Registre d'associacions (Generalitat)","1985-12-12T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"24","G58543182","Agrupació Rubinenca Cultural i Artística","c. Maestro Guerrero, 27","08191","Rubí",,,,"935887473","angelesf26@hotmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"25","G59849760","Foment de la Sardana de Rubí","Av. Castellbisbal, 161","08191","Rubí",,,,"676722381","fomentdelasardanaderubi@gmail.com","https://fomentdelasardanaderubi.wordpress.com/","Associació","Registre d'associacions (Generalitat)","1990-12-20T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"30","G59466011","C.F. Juventud 25 de Septiembre","C. Penedes, 11","08191","Rubí","3","2.0406473853","41.4840432198","623475391","juv25septiembre@gmail.com","www.juventud25septiembre.com","Entitats esportives","Registre d'Entitats Esportives","1981-12-10T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"31","G63505960","Asociación de Padres de Alumnos del Col·legi Públic Mossèn Cinto Verdaguer","C. Numància, 20","08191","Rubí","5","2.0367914989","41.4996942399","603515276","nouampamossencinto@gmail.com","https://agora.xtec.cat/escolamossencinto/categoria/ampa/","Associació","Registre d'associacions (Generalitat)","1988-10-27T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"32","G58085010","Centro Aragonés de Rubí","C. Marconi, 8","08191","Rubí","6","2.0364419708","41.4854680782","618240505","caragones.rubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1987-03-21T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"34","G60977097","Grup de col·laboradors del Museu de Rubí","C. Topazi, 1","08191","Rubí","1","2.0258185963","41.4900554949","655946920","gcmr.cer@gmail.com; jordivilaltam@gmail.com; j_vilalta@hotmail.com","historiaygrupomuseorubi.blogspot.com/","Associació","Registre d'associacions (Generalitat)","1995-03-15T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"35","G59369991","Asociación de Vecinos de Can Fatjó","C. Topazi, 1","08191","Rubí","1","2.0258185963","41.4900554949","628747089","avcanfatjo@gmail.com",,"Associació",,,"818460009","Ajuntament de Rubí"
"36","G08886384","Associació de Mares i Pares d'Alumnes del Col·legi d'Educació Infantil i Primària Maria Montessori","C. Monturiol, 35","08191","Rubí","3","2.0342030677","41.4843405115","647532679","ampamontessorirubi@gmail.com",,"Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"38","G59437806","Associació de Mares i Pares d'Alumnes de l'Escola Pau Casals de Rubí","C. Sant Pere, 42","08191","Rubí","4","2.0336130258","41.4910945137","693236556","afa@escolapaucasalsrubi.cat","ampapaucasals@blogspot.com","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
"39","G59101113","Associació d'amics de l'Astronomia TRI-A","C. Xile, 3","08191","Rubí","4","2.033040072","41.4925344084","656718465","genismajoraloller@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1989-11-19T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"41","G61380697","La Cámara Teatre-Rubí","Plana de Can Bertran, 2","08191","Rubí",,,,"669491083","manufusterg@gmail.com; lacamarateatre@gmail.com",,"Associació","Registre d'associacions (Generalitat)","1990-01-11T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"43","G59956037","Associació de Pares d'Alumnes del C.p. Teresa Altet","C. Mallorca, 90-118","08191","Rubí","5","2.0460634338","41.4984050727","936998001","afa@ieteresaaltet.cat","https://agora.xtec.cat/ieteresaaltet-rubi/","Associació","Registre d'associacions (Generalitat)","1988-03-22T00:00:00.000+01:00","818460009","Ajuntament de Rubí"
"44","G58287640","AMPA IES Duc de Montblanc","Av. Can Fatjó, 132","08191","Rubí","1","2.0218813339","41.4859875599","654358321","afa@ducdemontblanc.cat","agora.xtec.cat/iesducdemontblanc/categoria/ampa/","Associació","Registre d'associacions (Generalitat)",,"818460009","Ajuntament de Rubí"
